Year,RM,Winter Wheat,Canola,Spring Wheat,Mustard,Durum,Sunflowers,Oats,Lentils,Peas,Barley,Fall Rye,Canary Seed,Spring Rye,Tame Hay,Flax,Chickpeas
1938,37,NA,NA,4,NA,NA,NA,14,NA,NA,13,NA,NA,NA,NA,2,NA
1939,37,NA,NA,4,NA,NA,NA,4,NA,NA,5,NA,NA,NA,NA,1,NA
1940,37,NA,NA,10,NA,NA,NA,19,NA,NA,21,NA,NA,NA,NA,6,NA
1941,37,NA,NA,12,NA,NA,NA,21,NA,NA,20,NA,NA,NA,NA,6,NA
1942,37,NA,NA,24,NA,NA,NA,45,NA,NA,36,10,NA,NA,NA,4,NA
1943,37,NA,NA,21,NA,NA,NA,29,NA,NA,27,8,NA,NA,NA,8,NA
1944,37,NA,NA,25,NA,NA,NA,38,NA,NA,31,9,NA,NA,NA,12,NA
1945,37,NA,NA,19,NA,NA,NA,31,NA,NA,25,NA,NA,NA,NA,10,NA
1946,37,NA,NA,14,NA,NA,NA,26,NA,NA,17,NA,NA,NA,NA,6,NA
1947,37,NA,NA,10,NA,NA,NA,15,NA,NA,11,14,NA,NA,NA,4,NA
1948,37,NA,NA,14,NA,NA,NA,26,NA,NA,19,13,NA,NA,NA,6,NA
1949,37,NA,NA,8,NA,NA,NA,11,NA,NA,9,NA,NA,NA,NA,4,NA
1950,37,NA,NA,25,NA,NA,NA,45,NA,NA,32,NA,NA,NA,NA,15,NA
1951,37,NA,NA,15,NA,NA,NA,18,NA,NA,15,NA,NA,NA,NA,6,NA
1952,37,NA,NA,19,NA,NA,NA,38,NA,NA,29,NA,NA,NA,NA,11,NA
1953,37,NA,NA,18,NA,NA,NA,31,NA,NA,27,NA,NA,NA,NA,8,NA
1954,37,NA,NA,6,NA,NA,NA,27,NA,NA,20,NA,NA,NA,NA,8,NA
1955,37,NA,NA,20,NA,NA,NA,33,NA,NA,28,10,NA,NA,NA,7,NA
1956,37,NA,NA,19,NA,NA,NA,31,NA,NA,24,10,NA,NA,NA,6,NA
1957,37,NA,NA,12,NA,NA,NA,19,NA,NA,16,NA,NA,NA,NA,3,NA
1958,37,NA,NA,7,NA,NA,NA,15,NA,NA,13,NA,NA,NA,NA,3,NA
1959,37,NA,NA,15,NA,NA,NA,28,NA,NA,21,NA,NA,NA,NA,4,NA
1960,37,NA,NA,20,NA,NA,NA,32,NA,NA,24,NA,NA,NA,NA,7,NA
1961,37,NA,NA,7,NA,NA,NA,8,NA,NA,8,NA,NA,NA,NA,4,NA
1962,37,NA,NA,20,NA,NA,NA,37,NA,NA,29,NA,NA,NA,NA,10,NA
1963,37,NA,NA,24,NA,NA,NA,53,NA,NA,35,35,NA,NA,NA,10,NA
1964,37,NA,NA,21,NA,NA,NA,40,NA,NA,33,NA,NA,NA,NA,10,NA
1965,37,NA,NA,25,NA,NA,NA,57,NA,NA,39,NA,NA,NA,NA,14,NA
1966,37,NA,NA,18,NA,NA,NA,42,NA,NA,35,NA,NA,NA,NA,8,NA
1967,37,NA,NA,15,NA,NA,NA,23,NA,NA,21,NA,NA,NA,NA,7,NA
1968,37,NA,NA,10,NA,NA,NA,16,NA,NA,13,NA,NA,NA,NA,4,NA
1969,37,NA,NA,30,NA,NA,NA,56,NA,NA,44,NA,NA,NA,NA,17,NA
1970,37,NA,NA,21,NA,21,NA,50,NA,NA,40,21,NA,NA,NA,14,NA
1971,37,NA,20,27,NA,26,NA,55,NA,NA,46,23,NA,NA,NA,13,NA
1972,37,NA,NA,25,NA,26,NA,50,NA,NA,39,NA,NA,NA,NA,12,NA
1973,37,NA,NA,21,NA,23,NA,43,NA,NA,33,30,NA,NA,NA,10,NA
1974,37,NA,10,22,NA,20,NA,40,NA,NA,30,12,NA,NA,NA,8,NA
1975,37,NA,NA,20,NA,19,NA,28,NA,NA,26,NA,NA,NA,NA,13,NA
1976,37,NA,NA,29,NA,29,NA,55,NA,NA,38,27,NA,NA,NA,12,NA
1977,37,NA,20,28,NA,26,NA,49,NA,NA,40,20,NA,NA,NA,NA,NA
1978,37,NA,19,31,NA,35,NA,63,NA,NA,48,28,NA,NA,NA,16,NA
1979,37,NA,10,17,NA,15,NA,31,NA,NA,25,10,NA,NA,NA,9,NA
1980,37,NA,8,18,NA,18,NA,22,NA,NA,20,11,NA,NA,NA,12,NA
1981,37,NA,NA,24,NA,22,NA,37,NA,NA,25,20,NA,NA,NA,10,NA
1982,37,NA,NA,23,NA,24,NA,44,NA,NA,36,23,NA,NA,NA,5,NA
1983,37,NA,11,18.5,NA,18.7,NA,32,NA,NA,24.8,10,NA,NA,NA,12,NA
1984,37,NA,7,12.7,NA,12,NA,14,NA,NA,12.5,5,NA,NA,0.33,3,NA
1985,37,NA,NA,5,NA,4.4,NA,NA,NA,NA,NA,6,NA,NA,0.2,NA,NA
1986,37,NA,NA,33.8,NA,35.6,NA,57.3,NA,NA,52.7,32,NA,NA,2.5,20.5,NA
1987,37,NA,15,19.3,NA,22,NA,30,NA,NA,30,25,NA,NA,1.75,10,NA
1988,37,NA,2,5.2,NA,7,NA,14,NA,NA,10,4,NA,NA,NA,3,NA
1989,37,NA,4,10.4,NA,7.6,NA,12,NA,NA,20,17,NA,NA,1.4,3,NA
1990,37,NA,NA,25.4,NA,24.1,NA,35,NA,NA,30.8,25,NA,NA,1,15,NA
1991,37,NA,NA,24,NA,24.2,NA,40,NA,NA,30,25,NA,NA,1,NA,NA
1992,37,NA,20,34.4,1400,31,NA,65,NA,NA,65,30,NA,NA,1,21,NA
1993,37,NA,20,30.7,1136,37.4,786,65.4,1150,NA,65.8,NA,1128,NA,0.75,20,NA
1994,37,NA,20,25.3,900,22.7,700,57.6,1416,15,44.2,NA,760,NA,NA,18,NA
1995,37,NA,16.3,23.8,692,26.1,1000,37.2,600,17.4,36.4,NA,750,NA,0.9,17.9,NA
1996,37,NA,19.1,27.6,946,28.9,NA,59.9,NA,25,44.5,NA,NA,0,1.8,15,NA
1997,37,NA,11.8,17.3,788,16.9,NA,32.5,850,14.4,27.5,NA,900,NA,0.7,10.9,NA
1998,37,NA,22.2,23.7,671.9,24.3,1056,55.8,1100,28.7,54.7,NA,1150,NA,NA,17.8,NA
1999,37,NA,19.3,25,1040.8,25.4,1119.8,59.9,1004.9,26.6,47.2,NA,NA,NA,NA,15.8,NA
2000,37,NA,24.2,23.2,924.9,25.6,NA,47.6,1051.3,28.5,42.7,NA,NA,NA,NA,16.3,NA
2001,37,NA,16.8,22.8,728,23.5,NA,35.8,742,20.1,31.8,NA,NA,NA,NA,17.6,NA
2002,37,NA,16,22.8,640,20.8,NA,50.8,754,16.5,24.9,NA,NA,NA,NA,12.8,NA
2003,37,NA,8.2,19.1,556,17.8,NA,48.1,720,9.8,20.3,NA,NA,NA,NA,7,NA
2004,37,NA,24.8,22,844,27.5,NA,40.2,1374,31.6,38.6,NA,953,NA,NA,11.5,NA
2005,37,NA,20.4,24.2,611,26.8,NA,46.5,1210,21.3,44.3,NA,NA,NA,NA,19.2,NA
2006,37,NA,16.9,21.3,645,24.5,NA,49.3,NA,22.4,35.6,NA,NA,NA,NA,13.6,NA
2007,37,NA,17.7,20.4,597,22.3,NA,39,NA,30.3,30.2,NA,NA,NA,NA,13.3,1389
2008,37,27,20.1,26.7,NA,27.3,NA,36.7,NA,28.6,52.4,NA,NA,NA,NA,16.4,NA
2009,37,NA,28.7,32.4,942,33.3,NA,34.2,NA,26.9,53.9,NA,NA,NA,NA,22.5,NA
2010,37,47.5,25.4,22.1,711,25.2,659,36.2,974,23.3,32.8,NA,NA,NA,NA,14.5,NA
2011,37,NA,13.6,13.6,544,23.3,NA,NA,366,NA,NA,NA,NA,NA,NA,NA,NA
2012,37,63.6,24.2,28.4,843,31.9,NA,44.5,993,25,41.5,33,NA,NA,NA,17.8,1621
2013,37,40.5,33.6,38.8,629,45.8,NA,63,1402,33.8,50.9,NA,NA,NA,NA,19.6,NA
2014,37,48.82,30.16,31.98,NA,39.57,0,43.8,1566.69,33.7,44.69,42.56,NA,0,0,22.52,NA
2015,37,32.52,31.82,29.04,726.05,29.41,NA,56.54,1203.16,31.3,45.03,NA,NA,NA,NA,22.2,NA
2016,37,59.1,35.6,36.6,NA,44.2,NA,49.9,1515,40.1,63.4,60,NA,NA,NA,30.2,NA
2017,37,15.96,15.44,17.7,NA,22.13,NA,15.85,804.48,17.3,NA,NA,NA,NA,NA,14.48,NA
2018,37,45,25.7,27.8,951,33.6,NA,58,1077,38,NA,NA,NA,NA,NA,20.2,2121
2019,37,30.2,20.2,33,NA,37.5,NA,45.2,882,36.2,NA,NA,NA,NA,NA,NA,1349
2020,37,NA,32.7,43.2,NA,44.2,NA,21.7,1349,41.3,NA,NA,NA,NA,NA,24.8,NA
2021,37,NA,21.5,22.9,NA,28.6,NA,NA,1109,29.7,NA,NA,NA,NA,NA,12.2,NA
2022,37,NA,36.6,47.8,877.4,52.9,NA,NA,1429.3,40.8,NA,NA,NA,NA,NA,20.3,NA
2023,37,NA,24.6,38.1,NA,31.3,NA,NA,1264.9,32.5,NA,NA,NA,NA,NA,29.7,NA
2024,37,NA,22.4,31.8,522,31.8,NA,NA,1070,29.2,38.1,NA,NA,NA,NA,NA,NA
2025,37,NA,42.1,43.1,NA,46.1,NA,NA,1552,40.3,88,NA,NA,NA,NA,NA,NA
1938,38,NA,NA,6,NA,NA,NA,12,NA,NA,10,NA,NA,NA,NA,2,NA
1939,38,NA,NA,5,NA,NA,NA,8,NA,NA,9,NA,NA,NA,NA,1,NA
1940,38,NA,NA,22,NA,NA,NA,30,NA,NA,27,NA,NA,NA,NA,5,NA
1941,38,NA,NA,14,NA,NA,NA,26,NA,NA,24,NA,NA,NA,NA,6,NA
1942,38,NA,NA,25,NA,NA,NA,44,NA,NA,36,17,NA,NA,NA,7,NA
1943,38,NA,NA,17,NA,NA,NA,30,NA,NA,25,12,NA,NA,NA,7,NA
1944,38,NA,NA,21,NA,NA,NA,29,NA,NA,26,8,NA,NA,NA,8,NA
1945,38,NA,NA,12,NA,NA,NA,21,NA,NA,19,NA,NA,NA,NA,5,NA
1946,38,NA,NA,11,NA,NA,NA,17,NA,NA,15,NA,NA,NA,NA,3,NA
1947,38,NA,NA,9,NA,NA,NA,13,NA,NA,11,NA,NA,NA,NA,4,NA
1948,38,NA,NA,15,NA,NA,NA,21,NA,NA,22,14,NA,NA,NA,8,NA
1949,38,NA,NA,8,NA,NA,NA,15,NA,NA,13,9,NA,NA,NA,4,NA
1950,38,NA,NA,26,NA,NA,NA,45,NA,NA,39,20,NA,NA,NA,10,NA
1951,38,NA,NA,15,NA,NA,NA,21,NA,NA,19,NA,NA,NA,NA,5,NA
1952,38,NA,NA,23,NA,NA,NA,50,NA,NA,38,20,NA,NA,NA,8,NA
1953,38,NA,NA,21,NA,NA,NA,38,NA,NA,31,25,NA,NA,NA,11,NA
1954,38,NA,NA,7,NA,NA,NA,37,NA,NA,26,17,NA,NA,NA,11,NA
1955,38,NA,NA,23,NA,NA,NA,39,NA,NA,29,23,NA,NA,NA,8,NA
1956,38,NA,NA,21,NA,NA,NA,42,NA,NA,35,6,NA,NA,NA,8,NA
1957,38,NA,NA,14,NA,NA,NA,26,NA,NA,20,15,NA,NA,NA,2,NA
1958,38,NA,NA,8,NA,NA,NA,17,NA,NA,16,6,NA,NA,NA,6,NA
1959,38,NA,NA,12,NA,NA,NA,28,NA,NA,18,12,NA,NA,NA,6,NA
1960,38,NA,NA,21,NA,NA,NA,48,NA,NA,36,25,NA,NA,NA,9,NA
1961,38,NA,NA,8,NA,NA,NA,11,NA,NA,9,9,NA,NA,NA,4,NA
1962,38,NA,NA,22,NA,NA,NA,45,NA,NA,35,25,NA,NA,NA,9,NA
1963,38,NA,NA,27,NA,NA,NA,53,NA,NA,40,25,NA,NA,NA,12,NA
1964,38,NA,NA,22,NA,NA,NA,46,NA,NA,34,20,NA,NA,NA,9,NA
1965,38,NA,NA,26,NA,NA,NA,53,NA,NA,37,23,NA,NA,NA,13,NA
1966,38,NA,NA,15,NA,NA,NA,21,NA,NA,13,18,NA,NA,NA,8,NA
1967,38,NA,NA,15,NA,NA,NA,25,NA,NA,20,15,NA,NA,NA,6,NA
1968,38,NA,NA,12,NA,NA,NA,23,NA,NA,23,11,NA,NA,NA,9,NA
1969,38,NA,NA,30,NA,NA,NA,60,NA,NA,45,18,NA,NA,NA,13,NA
1970,38,NA,NA,24,NA,22,NA,47,NA,NA,33,21,NA,NA,NA,13,NA
1971,38,NA,17,27,NA,28,NA,50,NA,NA,46,22,NA,NA,NA,12,NA
1972,38,NA,14,27,NA,30,NA,54,NA,NA,48,25,NA,NA,NA,17,NA
1973,38,NA,NA,25,NA,32,NA,45,NA,NA,40,NA,NA,NA,NA,18,NA
1974,38,NA,NA,21,NA,20,NA,40,NA,NA,30,20,NA,NA,NA,7,NA
1975,38,NA,NA,22,NA,22,NA,45,NA,NA,35,NA,NA,NA,NA,NA,NA
1976,38,NA,NA,30,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,38,NA,NA,30,NA,31,NA,48,NA,NA,42,18,NA,NA,NA,14,NA
1978,38,NA,NA,31,NA,33,NA,53,NA,NA,43,30,NA,NA,NA,17,NA
1979,38,NA,NA,20,NA,20,NA,30,NA,NA,25,20,NA,NA,NA,11,NA
1980,38,NA,11,15,NA,15,NA,35,NA,NA,25,15,NA,NA,NA,13,NA
1981,38,NA,NA,20,NA,20,NA,40,NA,NA,28,25,NA,NA,NA,10,NA
1982,38,NA,21,29,NA,29,NA,57,NA,NA,44,29,NA,NA,NA,17,NA
1983,38,NA,16,22.1,NA,22.1,NA,45,NA,NA,27.1,27.5,NA,NA,NA,11.7,NA
1984,38,NA,4,11.1,NA,10.5,NA,15,NA,NA,13.5,9,NA,NA,0.05,4,NA
1985,38,NA,NA,7.6,NA,4.5,NA,10,NA,NA,6.7,18,NA,NA,0.6,2,NA
1986,38,NA,18,34.8,NA,36,NA,64.8,NA,NA,51.4,32.5,NA,NA,2,15,NA
1987,38,NA,18,30,NA,25,NA,45,NA,NA,33,15,NA,NA,1.5,14,NA
1988,38,NA,3,7.3,NA,4.3,NA,12,NA,NA,10,10,NA,NA,0.05,5,NA
1989,38,NA,4,12.7,NA,11.6,NA,17,NA,NA,26.5,19,NA,NA,0.5,6.5,NA
1990,38,NA,NA,32.4,NA,33,NA,45,NA,NA,50,25,NA,NA,1,15,NA
1991,38,NA,NA,26.4,NA,28.8,NA,45,NA,NA,40,25,NA,NA,1.46,NA,NA
1992,38,NA,20,27.3,900,33.5,700,61,NA,NA,54.5,30,NA,NA,0.75,14,NA
1993,38,NA,25.7,25.1,967,32.2,513,50,350,20,44.9,20,1000,NA,NA,20,NA
1994,38,NA,10.2,19,569,22.7,542,40,651,NA,45,10,700,NA,NA,9.9,NA
1995,38,NA,14.3,24.2,679,23.5,1099,75,1039,NA,29,22.5,NA,NA,0.88,14.6,NA
1996,38,NA,22,25.4,1086,25.1,NA,45,1236,35,35.2,NA,490,0,0.9,26.1,NA
1997,38,NA,14.7,20.5,747,20.9,554.3,15.9,980,22,30.8,NA,NA,NA,1.3,15,NA
1998,38,NA,21.5,20.6,702.4,24.7,NA,NA,708.3,27.2,33.1,NA,520,NA,NA,13.1,NA
1999,38,NA,20.8,23.6,884.7,25.8,NA,22.7,1219.5,20.9,26.9,NA,NA,NA,NA,13.8,NA
2000,38,NA,31.7,25.4,1157.5,27.5,NA,95,843.3,29.6,46.1,NA,NA,NA,NA,21.2,NA
2001,38,NA,25.2,23.8,759,27.7,NA,NA,964,24.9,46.8,NA,NA,NA,NA,17.8,NA
2002,38,NA,20.2,20.5,479,25.7,NA,27.1,756,21.1,40.5,NA,545,NA,NA,15.5,NA
2003,38,25,12.1,21,491,20,NA,29.6,NA,17.4,27.2,25,800,NA,NA,8.4,NA
2004,38,NA,29.7,28.6,830,27.2,NA,48.6,1188,41.5,54.8,NA,NA,NA,NA,16.1,NA
2005,38,NA,27.9,30.4,942,37.8,NA,NA,1310,33.1,43.4,NA,NA,NA,NA,23.7,NA
2006,38,NA,20.2,23,977,26.4,NA,31.1,900,22.7,35.4,25,NA,NA,NA,13.9,807
2007,38,36.1,22.5,25.7,714,26.2,NA,53.5,1189,36.3,47.2,40,NA,NA,NA,13.2,1174
2008,38,NA,22.1,27.8,1088,28.7,NA,50,940,23.4,53.3,25,1250,NA,NA,15.3,1650
2009,38,NA,33.5,30.1,NA,36.3,NA,44.8,NA,31.5,NA,NA,NA,NA,NA,22.2,NA
2010,38,55.6,26.8,25.3,1015,30.7,NA,42.5,937,26.2,48,40,NA,NA,NA,17.4,1135
2011,38,39.1,20.3,20,862,26.5,NA,NA,775,25.9,32.5,30,NA,NA,NA,13.6,NA
2012,38,52.8,26.5,24.2,802,29.7,NA,NA,1126,25.6,21,NA,NA,NA,NA,16,1662
2013,38,36.8,38,36.7,1171,42,NA,42.4,1222,32.1,51.2,35,NA,NA,NA,27.4,NA
2014,38,37.55,32.46,35.69,1010,41.65,0,47.64,1546.31,29.3,37.06,26.5,NA,0,0,22.3,1200
2015,38,25.09,29.45,27.33,566.17,28.73,NA,38.82,1053.36,21,20.85,NA,NA,NA,NA,14.79,NA
2016,38,45.8,40.7,29.5,1230,43.3,NA,51.1,1751,40.3,44.8,35,NA,NA,NA,28.4,1500
2017,38,18.8,13.34,21.17,750,22.33,NA,19.83,816.18,18,25,20,NA,NA,NA,10.16,900
2018,38,27.5,23.3,34.3,NA,29.4,NA,49.3,1367,25,39,27.5,NA,NA,NA,10.2,1674
2019,38,25,27,37.1,NA,39.9,NA,55.4,1190,30.6,45.8,25,NA,NA,NA,17.7,1247
2020,38,NA,37.2,41.1,NA,46,NA,53.5,1351,37.3,55.1,NA,NA,NA,NA,22.2,1645
2021,38,NA,23.8,33.5,NA,30,NA,38.7,1408,27.5,26.5,NA,NA,NA,NA,14.6,1772
2022,38,NA,36.4,39.1,923.7,48.4,NA,71.9,1374.8,33.5,52.3,NA,NA,NA,NA,25.3,1649.4
2023,38,NA,24.5,35.4,1000,32.6,NA,30,1425.8,28.9,45.8,NA,NA,NA,NA,15.3,1432.3
2024,38,NA,14.9,20.3,504,23.3,NA,2.6,1008,26.9,7.4,NA,NA,NA,NA,8.4,902
2025,38,NA,38.4,47.5,1137,47.4,NA,NA,1844,40.3,61,NA,NA,NA,NA,25.6,2939
1938,39,NA,NA,7,NA,NA,NA,14,NA,NA,15,NA,NA,NA,NA,2,NA
1939,39,NA,NA,9,NA,NA,NA,18,NA,NA,16,NA,NA,NA,NA,4,NA
1940,39,NA,NA,28,NA,NA,NA,45,NA,NA,37,NA,NA,NA,NA,8,NA
1941,39,NA,NA,16,NA,NA,NA,29,NA,NA,24,NA,NA,NA,NA,8,NA
1942,39,NA,NA,25,NA,NA,NA,47,NA,NA,35,18,NA,NA,NA,10,NA
1943,39,NA,NA,15,NA,NA,NA,36,NA,NA,27,NA,NA,NA,NA,7,NA
1944,39,NA,NA,21,NA,NA,NA,37,NA,NA,31,NA,NA,NA,NA,8,NA
1945,39,NA,NA,8,NA,NA,NA,17,NA,NA,13,NA,NA,NA,NA,4,NA
1946,39,NA,NA,11,NA,NA,NA,18,NA,NA,18,NA,NA,NA,NA,3,NA
1947,39,NA,NA,14,NA,NA,NA,22,NA,NA,18,10,NA,NA,NA,4,NA
1948,39,NA,NA,12,NA,NA,NA,22,NA,NA,18,10,NA,NA,NA,4,NA
1949,39,NA,NA,7,NA,NA,NA,10,NA,NA,10,5,NA,NA,NA,3,NA
1950,39,NA,NA,24,NA,NA,NA,49,NA,NA,43,NA,NA,NA,NA,6,NA
1951,39,NA,NA,13,NA,NA,NA,18,NA,NA,16,NA,NA,NA,NA,5,NA
1952,39,NA,NA,24,NA,NA,NA,40,NA,NA,36,20,NA,NA,NA,10,NA
1953,39,NA,NA,20,NA,NA,NA,34,NA,NA,28,NA,NA,NA,NA,12,NA
1954,39,NA,NA,7,NA,NA,NA,23,NA,NA,20,NA,NA,NA,NA,10,NA
1955,39,NA,NA,18,NA,NA,NA,29,NA,NA,24,18,NA,NA,NA,8,NA
1956,39,NA,NA,19,NA,NA,NA,37,NA,NA,33,10,NA,NA,NA,7,NA
1957,39,NA,NA,14,NA,NA,NA,23,NA,NA,18,18,NA,NA,NA,3,NA
1958,39,NA,NA,7,NA,NA,NA,14,NA,NA,11,NA,NA,NA,NA,3,NA
1959,39,NA,NA,7,NA,NA,NA,19,NA,NA,18,16,NA,NA,NA,4,NA
1960,39,NA,NA,20,NA,NA,NA,35,NA,NA,29,30,NA,NA,NA,5,NA
1961,39,NA,NA,5,NA,NA,NA,7,NA,NA,5,NA,NA,NA,NA,3,NA
1962,39,NA,NA,25,NA,NA,NA,60,NA,NA,51,25,NA,NA,NA,14,NA
1963,39,NA,NA,26,NA,NA,NA,53,NA,NA,43,20,NA,NA,NA,11,NA
1964,39,NA,NA,21,NA,NA,NA,38,NA,NA,30,NA,NA,NA,NA,9,NA
1965,39,NA,NA,25,NA,NA,NA,58,NA,NA,43,NA,NA,NA,NA,12,NA
1966,39,NA,NA,16,NA,NA,NA,42,NA,NA,25,NA,NA,NA,NA,6,NA
1967,39,NA,NA,12,NA,NA,NA,30,NA,NA,23,NA,NA,NA,NA,5,NA
1968,39,NA,NA,12,NA,NA,NA,25,NA,NA,20,NA,NA,NA,NA,4,NA
1969,39,NA,NA,30,NA,NA,NA,60,NA,NA,43,15,NA,NA,NA,17,NA
1970,39,NA,NA,24,NA,25,NA,50,NA,NA,42,17,NA,NA,NA,15,NA
1971,39,NA,NA,24,NA,25,NA,48,NA,NA,42,20,NA,NA,NA,12,NA
1972,39,NA,NA,25,NA,26,NA,50,NA,NA,40,NA,NA,NA,NA,16,NA
1973,39,NA,NA,25,NA,26,NA,50,NA,NA,38,NA,NA,NA,NA,12,NA
1974,39,NA,NA,17,NA,19,NA,35,NA,NA,28,18,NA,NA,NA,3,NA
1975,39,NA,NA,24,NA,23,NA,45,NA,NA,32,NA,NA,NA,NA,5,NA
1976,39,NA,NA,32,NA,32,NA,60,NA,NA,50,NA,NA,NA,NA,12,NA
1977,39,NA,NA,30,NA,28,NA,50,NA,NA,45,NA,NA,NA,NA,19,NA
1978,39,NA,NA,32,NA,33,NA,56,NA,NA,44,NA,NA,NA,NA,18,NA
1979,39,NA,NA,19,NA,20,NA,35,NA,NA,25,NA,NA,NA,NA,12,NA
1980,39,NA,NA,18,NA,18,NA,22,NA,NA,25,NA,NA,NA,NA,20,NA
1981,39,NA,NA,20,NA,17,NA,30,NA,NA,40,NA,NA,NA,NA,9,NA
1982,39,NA,NA,31,NA,32,NA,59,NA,NA,48,28,NA,NA,NA,19,NA
1983,39,NA,NA,21.8,NA,21.1,NA,37.5,NA,NA,31.6,20,NA,NA,NA,12.8,NA
1984,39,NA,NA,10.4,NA,10.4,NA,18.2,NA,NA,16.4,10,NA,NA,1.25,3,NA
1985,39,NA,NA,6.9,NA,6.9,NA,11,NA,NA,9,18,NA,NA,0.5,2,NA
1986,39,NA,NA,33,NA,34.2,NA,60,NA,NA,55,32.5,NA,NA,1.5,17.5,NA
1987,39,NA,20,24.6,NA,24,NA,57.5,NA,NA,33.6,25,NA,NA,2,15.3,NA
1988,39,NA,5,10.8,NA,10.8,NA,15,NA,NA,15,15,NA,NA,0.08,12,NA
1989,39,NA,5,15.4,NA,15,NA,23.5,NA,NA,12.7,15,NA,NA,0.75,8,NA
1990,39,NA,20,30.7,NA,32.1,NA,43.3,NA,NA,52,35,NA,NA,0.5,18,NA
1991,39,NA,NA,21.9,NA,30,NA,39.7,NA,NA,35,25,NA,NA,1.41,22.1,NA
1992,39,25,30,30.9,850,33.6,850,50,900,NA,51.8,35,NA,NA,0.75,11,NA
1993,39,40,24.5,30.4,950,32.9,1200,67.4,1000,16.7,50,40,1300,NA,NA,20,NA
1994,39,35,20,22.8,817,24,900,50,900,13.3,40,35,800,35,1,18,NA
1995,39,35,19.7,28.4,812,30.5,1200,55,1377,20,45,NA,1100,NA,0.9,25.9,NA
1996,39,30,22.5,32.3,961,35.5,1100,65.1,1320,35.9,44.2,NA,846,0,0.9,20,NA
1997,39,30,21.2,23.7,838.9,25.7,1050,36.9,1273.6,27.3,44.9,NA,900,NA,0.6,16.4,NA
1998,39,35,19.6,23.3,786.3,26.1,1050,43.1,1271.3,36.9,42.2,NA,994.4,NA,NA,15.3,NA
1999,39,40,23.6,29.9,951.2,32.1,1100,52.2,1374.5,33,44.4,NA,932.4,NA,NA,22,NA
2000,39,30,20.9,25.8,803.4,28.2,1100,49,1126.9,33.8,51.2,NA,900,NA,NA,17.3,NA
2001,39,NA,17.9,21.5,712,26.9,NA,42,1246,30.2,50.9,NA,500,NA,NA,13.5,NA
2002,39,25,17.9,23.3,604,26.4,NA,43.3,982,19.3,34.9,NA,587,NA,NA,14.6,NA
2003,39,25,9.3,20.3,600,21.6,NA,27.8,910,18.4,36.1,NA,NA,NA,NA,9.7,NA
2004,39,30,20.5,25,599,29.1,NA,35,925,32.2,34.6,NA,500,NA,NA,18.6,NA
2005,39,NA,20.7,27.7,974,32.8,NA,52.9,1287,27.9,53.7,NA,1050,NA,NA,21.3,870
2006,39,NA,18.8,22.2,634,25.1,NA,35.4,905,21.6,34,NA,800,NA,NA,14.3,769
2007,39,35,21.3,21.1,602,25,NA,39.4,1450,32.8,41.9,NA,700,NA,NA,15.4,1335
2008,39,40,28.5,25.7,604,31.1,NA,60.7,1767,32.9,50,NA,1450,NA,NA,18.4,1544
2009,39,45,35.9,31.6,895,40.9,900,67.4,1582,36.8,80.4,NA,NA,NA,NA,24.3,NA
2010,39,38,32.1,29.5,855,30.9,NA,60.5,1443,26.7,45,NA,NA,NA,NA,19.3,1240
2011,39,47.9,23.8,20.8,NA,26.6,NA,55,1138,22.9,31.3,NA,NA,NA,NA,14,NA
2012,39,58.2,26.5,26,675,30.5,NA,NA,1243,30.4,47.5,NA,NA,NA,NA,16.4,NA
2013,39,NA,41,37.2,1035,49,NA,52.3,1607,43.3,54.2,NA,NA,NA,NA,26.2,2280
2014,39,45.42,40.45,37.12,817.79,43.59,0,NA,1757.36,34.9,40.89,NA,NA,0,0,26.49,NA
2015,39,32.5,28.8,28.95,1170.24,34.01,NA,54.99,1352.15,23.5,41.55,NA,NA,NA,NA,17.89,NA
2016,39,NA,46.6,36.3,977,57.6,NA,67.4,1522,42.5,55,NA,NA,NA,NA,24.6,NA
2017,39,NA,17.83,21.62,435.33,25.44,NA,NA,849.82,21.3,NA,NA,NA,NA,NA,11.18,NA
2018,39,NA,31.6,37.5,954,37.8,NA,NA,1441,38,NA,NA,NA,NA,NA,20,2198
2019,39,NA,37.8,47.1,613,57.5,NA,39.9,1734,39.6,86.4,NA,NA,NA,NA,16.6,1280
2020,39,NA,40.7,NA,899,62.1,NA,NA,1429,46.6,80.8,NA,NA,NA,NA,27.4,1903
2021,39,NA,28.9,NA,NA,39.1,NA,NA,1627,31.1,45.8,NA,NA,NA,NA,15.3,NA
2022,39,NA,30.3,NA,526.9,43.9,NA,NA,1336,31.7,37.4,NA,NA,NA,NA,26.7,1741.6
2023,39,NA,25.8,NA,826.7,34.3,NA,15.7,1358.1,30.2,3.4,NA,NA,NA,NA,25.5,1774.7
2024,39,NA,11.1,NA,354,22.5,NA,NA,898,19.5,29,NA,NA,NA,NA,6.5,878
2025,39,NA,52.6,NA,1463,64.5,NA,55.8,1982,58.2,29,NA,NA,NA,NA,29.1,2827
1938,40,NA,NA,5,NA,NA,NA,18,NA,NA,19,NA,NA,NA,NA,4,NA
1939,40,NA,NA,11,NA,NA,NA,22,NA,NA,18,NA,NA,NA,NA,5,NA
1940,40,NA,NA,20,NA,NA,NA,32,NA,NA,24,NA,NA,NA,NA,8,NA
