Risk_Zone,Crop,Variety,Year,Acres,Yield
8,Canary Seed,CANTATE,2024,21085,1559
8,Canary Seed,CANTATE,2025,20631,2156
8,Canary Seed,KEET,2021,10001,1365
8,Canary Seed,KEET,2022,10936,1927
8,Canary Seed,KEET,2023,11949,1530
8,Canary Seed,KEET,2024,10159,1671
8,Canary Seed,KEET,2025,17227,2251
8,Canary Seed,LUMIO CDC,2021,,
8,Canary Seed,LUMIO CDC,2022,1773,1623
8,Canary Seed,LUMIO CDC,2023,6179,1261
8,Canary Seed,LUMIO CDC,2024,11541,1594
8,Canary Seed,LUMIO CDC,2025,20307,1900
8,Canary Seed,MARIA CDC,2021,3222,1303
8,Canary Seed,MARIA CDC,2022,2040,1444
8,Canary Seed,MARIA CDC,2023,1719,2011
8,Canary Seed,MARIA CDC,2024,795,2041
8,Canary Seed,MARIA CDC,2025,944,2282
8,Canary Seed,TOGO CDC,2021,1111,1014
8,Canary Seed,TOGO CDC,2022,,
8,Canary Seed,TOGO CDC,2023,1101,1162
8,Canary Seed,TOGO CDC,2024,750,1153
8,Canary Seed,TOGO CDC,2025,495,1433
8,Chickpea,- Large Kabuli LANCER CDC,2021,,
8,Chickpea,- Large Kabuli LANCER CDC,2022,,
8,Chickpea,- Large Kabuli LANCER CDC,2023,1513,1724
8,Chickpea,- Large Kabuli LANCER CDC,2024,1750,1925
8,Chickpea,- Large Kabuli LANCER CDC,2025,2003,3457
8,Chickpea,LEADER CDC,2021,4260,1980
8,Chickpea,LEADER CDC,2022,4531,2970
8,Chickpea,LEADER CDC,2023,14675,2205
8,Chickpea,LEADER CDC,2024,21851,1982
8,Chickpea,LEADER CDC,2025,20207,2606
8,Chickpea,ORION CDC,2021,1421,1781
8,Chickpea,ORION CDC,2022,1244,2485
8,Chickpea,ORION CDC,2023,3580,1814
8,Chickpea,ORION CDC,2024,,
8,Chickpea,ORION CDC,2025,411,2172
8,Chickpea,ORKNEY CDC,2021,,
8,Chickpea,ORKNEY CDC,2022,,
8,Chickpea,ORKNEY CDC,2023,2873,2092
8,Chickpea,ORKNEY CDC,2024,3101,2390
8,Chickpea,ORKNEY CDC,2025,5122,2663
8,Chickpea,PASQUA CDC,2021,,
8,Chickpea,PASQUA CDC,2022,,
8,Chickpea,PASQUA CDC,2023,,
8,Chickpea,PASQUA CDC,2024,4845,1728
8,Chickpea,PASQUA CDC,2025,12379,2233
8,Chickpea,- Small Kabuli PEARL,2021,,
8,Chickpea,- Small Kabuli PEARL,2022,,
8,Chickpea,- Small Kabuli PEARL,2023,1232,2579
8,Chickpea,- Small Kabuli PEARL,2024,4238,2068
8,Chickpea,- Small Kabuli PEARL,2025,6957,2670
8,Lentils - Large Green,GREENLAND CDC,2021,6745,990
8,Lentils - Large Green,GREENLAND CDC,2022,5292,1184
8,Lentils - Large Green,GREENLAND CDC,2023,6898,1466
8,Lentils - Large Green,GREENLAND CDC,2024,6886,1400
8,Lentils - Large Green,GREENLAND CDC,2025,5059,1797
8,Lentils - Large Green,GREENSTAR CDC,2021,18365,1188
8,Lentils - Large Green,GREENSTAR CDC,2022,14073,1861
8,Lentils - Large Green,GREENSTAR CDC,2023,15221,1590
8,Lentils - Large Green,GREENSTAR CDC,2024,18712,1310
8,Lentils - Large Green,GREENSTAR CDC,2025,12980,2584
8,Lentils - Large Green,GRIMM CDC,2021,,
8,Lentils - Large Green,GRIMM CDC,2022,,
8,Lentils - Large Green,GRIMM CDC,2023,2455,1314
8,Lentils - Large Green,GRIMM CDC,2024,8412,1310
8,Lentils - Large Green,GRIMM CDC,2025,18169,2385
8,Lentils - Large Green,IMPOWER CDC CL,2021,7421,1235
8,Lentils - Large Green,IMPOWER CDC CL,2022,3901,1122
8,Lentils - Large Green,IMPOWER CDC CL,2023,1288,1576
8,Lentils - Large Green,IMPOWER CDC CL,2024,1151,1283
8,Lentils - Large Green,IMPOWER CDC CL,2025,995,1468
8,Lentils - Large Green,IMPROVE CDC,2021,8646,1193
8,Lentils - Large Green,IMPROVE CDC,2022,3816,1127
8,Lentils - Large Green,IMPROVE CDC,2023,2116,1327
8,Lentils - Large Green,IMPROVE CDC,2024,1699,1157
8,Lentils - Large Green,IMPROVE CDC,2025,6357,1706
8,Lentils - Large Green,LAIRD,2021,3310,1100
8,Lentils - Large Green,LAIRD,2022,,
8,Lentils - Large Green,LAIRD,2023,495,939
8,Lentils - Large Green,LAIRD,2024,519,1365
8,Lentils - Large Green,LAIRD,2025,1416,1466
8,Lentils - Large Green,LIMA CDC,2021,17674,1190
8,Lentils - Large Green,LIMA CDC,2022,11606,1396
8,Lentils - Large Green,LIMA CDC,2023,26139,1448
8,Lentils - Large Green,LIMA CDC,2024,38685,1329
8,Lentils - Large Green,LIMA CDC,2025,39935,2110
8,Lentils,- Other ESTON,2021,10097,1301
8,Lentils,- Other ESTON,2022,7730,1056
8,Lentils,- Other ESTON,2023,5276,1806
8,Lentils,- Other ESTON,2024,7946,1528
8,Lentils,- Other ESTON,2025,15790,2288
8,Lentils,IMVINCIBLE CDC CL,2021,53777,1422
8,Lentils,IMVINCIBLE CDC CL,2022,58607,1382
8,Lentils,IMVINCIBLE CDC CL,2023,68447,1662
8,Lentils,IMVINCIBLE CDC CL,2024,69248,1329
8,Lentils,IMVINCIBLE CDC CL,2025,46569,1969
8,Lentils,INDIANHEAD,2021,,
8,Lentils,INDIANHEAD,2022,,
8,Lentils,INDIANHEAD,2023,,
8,Lentils,INDIANHEAD,2024,779,1237
8,Lentils,INDIANHEAD,2025,919,2083
8,Lentils,JIMINI CDC CL,2021,,
8,Lentils,JIMINI CDC CL,2022,,
8,Lentils,JIMINI CDC CL,2023,2779,653
8,Lentils,JIMINI CDC CL,2024,26453,1581
8,Lentils,JIMINI CDC CL,2025,70074,2712
8,Lentils,KERMIT CDC,2021,6107,1517
8,Lentils,KERMIT CDC,2022,7674,2114
8,Lentils,KERMIT CDC,2023,10973,1905
8,Lentils,KERMIT CDC,2024,13927,1550
8,Lentils,KERMIT CDC,2025,5548,2130
8,Lentils,PERIDOT CDC CL,2021,,
8,Lentils,PERIDOT CDC CL,2022,1551,1327
8,Lentils,PERIDOT CDC CL,2023,3432,1894
8,Lentils,PERIDOT CDC CL,2024,4451,1384
8,Lentils,PERIDOT CDC CL,2025,3241,2013
8,Lentils,SB-4 CDC,2021,,
8,Lentils,SB-4 CDC,2022,,
8,Lentils,SB-4 CDC,2023,,
8,Lentils,SB-4 CDC,2024,610,1722
8,Lentils,SB-4 CDC,2025,640,2740
8,Lentils,VICEROY CDC,2021,1708,1407
8,Lentils,VICEROY CDC,2022,2754,1984
8,Lentils,VICEROY CDC,2023,1975,2048
8,Lentils,VICEROY CDC,2024,4590,1578
8,Lentils,VICEROY CDC,2025,640,2220
8,Lentils - Red,DAZIL CDC,2021,21080,1396
8,Lentils - Red,DAZIL CDC,2022,13085,1250
8,Lentils - Red,DAZIL CDC,2023,1485,2004
8,Lentils - Red,DAZIL CDC,2024,2055,1323
8,Lentils - Red,DAZIL CDC,2025,3264,1806
8,Lentils - Red,IMAX CL CDC,2021,5668,935
8,Lentils - Red,IMAX CL CDC,2022,2557,1195
8,Lentils - Red,IMAX CL CDC,2023,1370,1689
8,Lentils - Red,IMAX CL CDC,2024,1086,935
8,Lentils - Red,IMAX CL CDC,2025,1173,1967
8,Lentils - Red,IMPULSE,2021,50398,1292
8,Lentils - Red,IMPULSE,2022,40384,1737
8,Lentils - Red,IMPULSE,2023,34963,1724
8,Lentils - Red,IMPULSE,2024,40941,1530
8,Lentils - Red,IMPULSE,2025,27931,1770
8,Lentils - Red,KING,2021,3872,1526
8,Lentils - Red,KING,2022,3498,1182
8,Lentils - Red,KING,2023,1702,1711
8,Lentils - Red,KING,2024,2645,959
8,Lentils - Red,KING,2025,3698,1682
8,Lentils - Red,KR-1 CDC,2021,,
8,Lentils - Red,KR-1 CDC,2022,,
8,Lentils - Red,KR-1 CDC,2023,,
8,Lentils - Red,KR-1 CDC,2024,,
8,Lentils - Red,KR-1 CDC,2025,557,2026
8,Lentils - Red,MAXIM CDC,2021,22567,1268
8,Lentils - Red,MAXIM CDC,2022,19363,1852
8,Lentils - Red,MAXIM CDC,2023,11684,1706
8,Lentils - Red,MAXIM CDC,2024,14437,1543
8,Lentils - Red,MAXIM CDC,2025,11420,2231
8,Lentils - Red,MONARCH CDC,2021,,
8,Lentils - Red,MONARCH CDC,2022,,
8,Lentils - Red,MONARCH CDC,2023,,
8,Lentils - Red,MONARCH CDC,2024,,
8,Lentils - Red,MONARCH CDC,2025,2063,2154
8,Lentils - Red,NIMBLE,2021,2605,1850
8,Lentils - Red,NIMBLE,2022,4592,2423
8,Lentils - Red,NIMBLE,2023,3437,1914
8,Lentils - Red,NIMBLE,2024,4706,1863
8,Lentils - Red,NIMBLE,2025,3610,2432
8,Lentils - Red,PROCLAIM CDC,2021,46357,1477
8,Lentils - Red,PROCLAIM CDC,2022,45780,1682
8,Lentils - Red,PROCLAIM CDC,2023,46150,1903
8,Lentils - Red,PROCLAIM CDC,2024,36075,1907
8,Lentils - Red,PROCLAIM CDC,2025,35250,2392
8,Lentils - Red,REDMOON,2021,8959,1451
8,Lentils - Red,REDMOON,2022,3486,1312
8,Lentils - Red,REDMOON,2023,3790,1470
8,Lentils - Red,REDMOON,2024,3483,2013
8,Lentils - Red,REDMOON,2025,1755,2817
8,Lentils - Red,SIMMIE CDC,2021,3145,1733
8,Lentils - Red,SIMMIE CDC,2022,2609,1684
8,Lentils - Red,SIMMIE CDC,2023,13066,1561
8,Lentils - Red,SIMMIE CDC,2024,12839,1481
8,Lentils - Red,SIMMIE CDC,2025,16331,2260
9,Barley,ADVANTAGE AB,2021,,
9,Barley,ADVANTAGE AB,2022,,
9,Barley,ADVANTAGE AB,2023,1845,13.9
9,Barley,ADVANTAGE AB,2024,1002,27.7
9,Barley,ADVANTAGE AB,2025,505,66.5
9,Barley,ALTORADO,2021,1085,22.9
9,Barley,ALTORADO,2022,1621,48.6
9,Barley,ALTORADO,2023,1775,24.0
9,Barley,ALTORADO,2024,575,42.1
9,Barley,ALTORADO,2025,586,58.1
9,Barley,AUSTENSON CDC,2021,2175,15.7
9,Barley,AUSTENSON CDC,2022,4765,29.8
9,Barley,AUSTENSON CDC,2023,3090,36.9
9,Barley,AUSTENSON CDC,2024,4691,47.4
9,Barley,AUSTENSON CDC,2025,5102,53.9
9,Barley,CHURCHILL CDC,2021,,
9,Barley,CHURCHILL CDC,2022,,
9,Barley,CHURCHILL CDC,2023,,
9,Barley,CHURCHILL CDC,2024,,
9,Barley,CHURCHILL CDC,2025,472,54.6
9,Barley,CLAYMORE,2021,606,18.8
9,Barley,CLAYMORE,2022,1865,38.5
9,Barley,CLAYMORE,2023,1954,25.1
9,Barley,CLAYMORE,2024,866,27.4
9,Barley,CLAYMORE,2025,712,45.2
9,Barley,COPELAND CDC,2021,7969,23.1
9,Barley,COPELAND CDC,2022,7195,44.0
9,Barley,COPELAND CDC,2023,2976,37.1
9,Barley,COPELAND CDC,2024,3588,38.3
9,Barley,COPELAND CDC,2025,2403,66.9
9,Barley,COWBOY CDC,2021,,
9,Barley,COWBOY CDC,2022,1184,23.7
9,Barley,COWBOY CDC,2023,,
9,Barley,COWBOY CDC,2024,1619,39.7
9,Barley,COWBOY CDC,2025,465,30.0
9,Barley,DURANGO CDC,2021,,
9,Barley,DURANGO CDC,2022,,
9,Barley,DURANGO CDC,2023,,
9,Barley,DURANGO CDC,2024,,
9,Barley,DURANGO CDC,2025,1530,64.4
9,Barley,MAVERICK CDC,2021,2383,19.5
9,Barley,MAVERICK CDC,2022,4780,40.1
9,Barley,MAVERICK CDC,2023,2909,28.6
9,Barley,MAVERICK CDC,2024,4086,30.4
9,Barley,MAVERICK CDC,2025,3533,39.4
9,Barley,RENEGADE CDC,2021,,
9,Barley,RENEGADE CDC,2022,,
9,Barley,RENEGADE CDC,2023,,
9,Barley,RENEGADE CDC,2024,679,55.2
9,Barley,RENEGADE CDC,2025,1348,44.3
9,Barley,SYNERGY AAC,2021,9736,16.9
9,Barley,SYNERGY AAC,2022,8687,48.3
9,Barley,SYNERGY AAC,2023,12040,45.5
9,Barley,SYNERGY AAC,2024,5848,34.0
9,Barley,SYNERGY AAC,2025,6911,50.4
9,Barley,XENA,2021,600,45.9
9,Barley,XENA,2022,1103,67.6
9,Barley,XENA,2023,1430,43.0
9,Barley,XENA,2024,1020,45.9
9,Barley,XENA,2025,625,39.0
9,Canola/Rapeseed,BY 7204LL,2021,,
9,Canola/Rapeseed,BY 7204LL,2022,,
9,Canola/Rapeseed,BY 7204LL,2023,,
9,Canola/Rapeseed,BY 7204LL,2024,2889,29.7
9,Canola/Rapeseed,BY 7204LL,2025,434,41.5
9,Canola/Rapeseed,B3020,2021,,
9,Canola/Rapeseed,B3020,2022,,
9,Canola/Rapeseed,B3020,2023,,
9,Canola/Rapeseed,B3020,2024,,
9,Canola/Rapeseed,B3020,2025,1603,37.0
9,Canola/Rapeseed,DK 801 LL,2021,,
9,Canola/Rapeseed,DK 801 LL,2022,,
9,Canola/Rapeseed,DK 801 LL,2023,,
9,Canola/Rapeseed,DK 801 LL,2024,885,7.1
9,Canola/Rapeseed,DK 801 LL,2025,15712,26.9
9,Canola/Rapeseed,DKTFLL 21 SC,2021,956,12.5
9,Canola/Rapeseed,DKTFLL 21 SC,2022,1064,32.2
9,Canola/Rapeseed,DKTFLL 21 SC,2023,870,24.2
9,Canola/Rapeseed,DKTFLL 21 SC,2024,2471,19.8
9,Canola/Rapeseed,DKTFLL 21 SC,2025,938,45.8
9,Canola/Rapeseed,DK400TL,2021,,
9,Canola/Rapeseed,DK400TL,2022,,
9,Canola/Rapeseed,DK400TL,2023,,
9,Canola/Rapeseed,DK400TL,2024,4107,24.8
9,Canola/Rapeseed,DK400TL,2025,428,39.0
9,Canola/Rapeseed,DK800LL,2021,,
9,Canola/Rapeseed,DK800LL,2022,,
9,Canola/Rapeseed,DK800LL,2023,,
9,Canola/Rapeseed,DK800LL,2024,1921,25.9
9,Canola/Rapeseed,DK800LL,2025,936,33.6
9,Canola/Rapeseed,L233P,2021,87321,14.5
9,Canola/Rapeseed,L233P,2022,62767,25.8
9,Canola/Rapeseed,L233P,2023,60433,21.3
9,Canola/Rapeseed,L233P,2024,33176,25.5
9,Canola/Rapeseed,L233P,2025,15357,40.0
9,Canola/Rapeseed,L330PC,2021,,
9,Canola/Rapeseed,L330PC,2022,,
9,Canola/Rapeseed,L330PC,2023,,
9,Canola/Rapeseed,L330PC,2024,,
9,Canola/Rapeseed,L330PC,2025,7348,40.5
9,Canola/Rapeseed,L333PC,2021,,
9,Canola/Rapeseed,L333PC,2022,,
9,Canola/Rapeseed,L333PC,2023,,
9,Canola/Rapeseed,L333PC,2024,,
9,Canola/Rapeseed,L333PC,2025,2981,34.6
9,Canola/Rapeseed,L340PC,2021,5305,12.7
9,Canola/Rapeseed,L340PC,2022,36635,27.7
9,Canola/Rapeseed,L340PC,2023,78373,24.4
9,Canola/Rapeseed,L340PC,2024,62458,25.7
9,Canola/Rapeseed,L340PC,2025,59995,41.0
9,Canola/Rapeseed,L343PC,2021,,
9,Canola/Rapeseed,L343PC,2022,643,25.4
9,Canola/Rapeseed,L343PC,2023,2987,12.2
9,Canola/Rapeseed,L343PC,2024,2578,18.4
9,Canola/Rapeseed,L343PC,2025,1622,34.6
9,Canola/Rapeseed,L345PC,2021,28189,14.7
9,Canola/Rapeseed,L345PC,2022,26396,23.9
9,Canola/Rapeseed,L345PC,2023,21621,21.9
9,Canola/Rapeseed,L345PC,2024,39424,27.7
9,Canola/Rapeseed,L345PC,2025,23250,37.6
9,Canola/Rapeseed,L356PC,2021,,
9,Canola/Rapeseed,L356PC,2022,,
9,Canola/Rapeseed,L356PC,2023,1253,18.7
9,Canola/Rapeseed,L356PC,2024,8202,27.6
9,Canola/Rapeseed,L356PC,2025,3452,46.8
9,Canola/Rapeseed,P520L,2021,,
9,Canola/Rapeseed,P520L,2022,,
9,Canola/Rapeseed,P520L,2023,,
9,Canola/Rapeseed,P520L,2024,,
9,Canola/Rapeseed,P520L,2025,2341,36.0
9,Field Peas,ARDILL AAC,2021,1694,11.2
9,Field Peas,ARDILL AAC,2022,,
9,Field Peas,ARDILL AAC,2023,1477,31.2
9,Field Peas,ARDILL AAC,2024,2211,25.6
9,Field Peas,ARDILL AAC,2025,4975,36.4
9,Field Peas,BLAZER CDC,2021,,
9,Field Peas,BLAZER CDC,2022,,
9,Field Peas,BLAZER CDC,2023,,
9,Field Peas,BLAZER CDC,2024,,
9,Field Peas,BLAZER CDC,2025,3272,28.1
9,Field Peas,CHROME AAC,2021,1023,3.9
9,Field Peas,CHROME AAC,2022,,
9,Field Peas,CHROME AAC,2023,,
9,Field Peas,CHROME AAC,2024,,
9,Field Peas,CHROME AAC,2025,1311,29.6
9,Field Peas,ECLIPSE,2021,,
9,Field Peas,ECLIPSE,2022,756,16.5
9,Field Peas,ECLIPSE,2023,755,15.4
9,Field Peas,ECLIPSE,2024,,
9,Field Peas,ECLIPSE,2025,1008,13.2
9,Field Peas,FOREST CDC,2021,480,27.7
9,Field Peas,FOREST CDC,2022,,
9,Field Peas,FOREST CDC,2023,1708,29.6
9,Field Peas,FOREST CDC,2024,3477,35.8
9,Field Peas,FOREST CDC,2025,3940,37.7
9,Field Peas,GOLDEN CDC,2021,1274,11.4
9,Field Peas,GOLDEN CDC,2022,1137,27.6
9,Field Peas,GOLDEN CDC,2023,1060,24.1
9,Field Peas,GOLDEN CDC,2024,505,23.0
9,Field Peas,GOLDEN CDC,2025,742,43.8
9,Field Peas,HICKIE CDC,2021,,
9,Field Peas,HICKIE CDC,2022,,
9,Field Peas,HICKIE CDC,2023,,
9,Field Peas,HICKIE CDC,2024,,
9,Field Peas,HICKIE CDC,2025,870,38.4
9,Field Peas,INCA CDC,2021,2155,11.8
9,Field Peas,INCA CDC,2022,1455,24.4
9,Field Peas,INCA CDC,2023,1850,18.2
9,Field Peas,INCA CDC,2024,1834,17.3
9,Field Peas,INCA CDC,2025,2370,35.3
9,Field Peas,JULIUS AAC,2021,,
9,Field Peas,JULIUS AAC,2022,,
9,Field Peas,JULIUS AAC,2023,,
9,Field Peas,JULIUS AAC,2024,,
9,Field Peas,JULIUS AAC,2025,605,36.1
9,Field Peas,MEADOW CDC,2021,4709,14.4
9,Field Peas,MEADOW CDC,2022,2672,26.2
9,Field Peas,MEADOW CDC,2023,3992,22.5
9,Field Peas,MEADOW CDC,2024,5043,24.0
9,Field Peas,MEADOW CDC,2025,6158,32.7
9,Field Peas,SPECTRUM CDC,2021,1666,17.0
9,Field Peas,SPECTRUM CDC,2022,1624,28.8
9,Field Peas,SPECTRUM CDC,2023,1881,23.9
9,Field Peas,SPECTRUM CDC,2024,1376,19.5
9,Field Peas,SPECTRUM CDC,2025,701,41.4
9,Flax,GLAS CDC,2021,2713,7.1
9,Flax,GLAS CDC,2022,1958,21.8
9,Flax,GLAS CDC,2023,3698,10.3
9,Flax,GLAS CDC,2024,1989,13.9
9,Flax,GLAS CDC,2025,1991,28.8
9,Flax,NEELA CDC,2021,1836,8.7
9,Flax,NEELA CDC,2022,1883,12.6
9,Flax,NEELA CDC,2023,1929,7.7
9,Flax,NEELA CDC,2024,2033,12.6
9,Flax,NEELA CDC,2025,2095,17.8
9,Flax,ROWLAND CDC,2021,,
9,Flax,ROWLAND CDC,2022,,
9,Flax,ROWLAND CDC,2023,1498,14.2
9,Flax,ROWLAND CDC,2024,,
9,Flax,ROWLAND CDC,2025,2024,25.0
9,Flax,SORREL CDC,2021,4501,5.9
9,Flax,SORREL CDC,2022,2040,15.0
9,Flax,SORREL CDC,2023,1614,10.9
9,Flax,SORREL CDC,2024,1374,12.4
9,Flax,SORREL CDC,2025,1066,19.3
9,IP Canola/Rapeseed,L358HPC,2021,,
9,IP Canola/Rapeseed,L358HPC,2022,,
9,IP Canola/Rapeseed,L358HPC,2023,,
9,IP Canola/Rapeseed,L358HPC,2024,8041,34.5
9,IP Canola/Rapeseed,L358HPC,2025,2307,45.3
9,Mustard - Brown,CENTENNIAL BROWN,2021,,
9,Mustard - Brown,CENTENNIAL BROWN,2022,970,16.5
9,Mustard - Brown,CENTENNIAL BROWN,2023,1340,16.2
9,Mustard - Brown,CENTENNIAL BROWN,2024,1095,11.4
9,Mustard - Brown,CENTENNIAL BROWN,2025,1615,17.9
9,Mustard - Yellow,ANDANTE,2021,685,3.9
9,Mustard - Yellow,ANDANTE,2022,2190,9.7
9,Mustard - Yellow,ANDANTE,2023,1953,9.5
9,Mustard - Yellow,ANDANTE,2024,1169,9.1
9,Mustard - Yellow,ANDANTE,2025,2220,17.0
9,Mustard - Yellow,YELLOW 80 AAC,2021,,
9,Mustard - Yellow,YELLOW 80 AAC,2022,890,14.8
9,Mustard - Yellow,YELLOW 80 AAC,2023,,
9,Mustard - Yellow,YELLOW 80 AAC,2024,1623,11.7
9,Mustard - Yellow,YELLOW 80 AAC,2025,954,19.4
9,Wheat,- Canada Prairie ANDREW AC,2021,745,9.6
9,Wheat,- Canada Prairie ANDREW AC,2022,1339,27.0
9,Wheat,- Canada Prairie ANDREW AC,2023,2000,31.5
9,Wheat,- Canada Prairie ANDREW AC,2024,2465,35.8
9,Wheat,- Canada Prairie ANDREW AC,2025,2219,24.6
9,Wheat,PARAMOUNT AAC,2021,2090,11.8
9,Wheat,PARAMOUNT AAC,2022,1814,25.6
9,Wheat,PARAMOUNT AAC,2023,2484,16.5
9,Wheat,PARAMOUNT AAC,2024,2434,15.0
9,Wheat,PARAMOUNT AAC,2025,1628,24.9
9,Wheat - Durum,ALLOY CDC,2021,24818,14.7
9,Wheat - Durum,ALLOY CDC,2022,25631,35.2
9,Wheat - Durum,ALLOY CDC,2023,34599,24.5
9,Wheat - Durum,ALLOY CDC,2024,25426,26.1
9,Wheat - Durum,ALLOY CDC,2025,18532,30.4
9,Wheat - Durum,BRIGADE,2021,13292,15.9
9,Wheat - Durum,BRIGADE,2022,11265,36.4
9,Wheat - Durum,BRIGADE,2023,6469,27.1
9,Wheat - Durum,BRIGADE,2024,6690,31.9
9,Wheat - Durum,BRIGADE,2025,4192,23.2
9,Wheat - Durum,COMMANDER,2021,2040,32.4
9,Wheat - Durum,COMMANDER,2022,3087,47.5
9,Wheat - Durum,COMMANDER,2023,1192,48.6
9,Wheat - Durum,COMMANDER,2024,1760,59.4
9,Wheat - Durum,COMMANDER,2025,4095,46.7
9,Wheat - Durum,DEFY CDC,2021,,
9,Wheat - Durum,DEFY CDC,2022,5768,39.6
9,Wheat - Durum,DEFY CDC,2023,24717,27.9
9,Wheat - Durum,DEFY CDC,2024,47562,33.0
9,Wheat - Durum,DEFY CDC,2025,63392,40.5
9,Wheat - Durum,DONLOW AAC,2021,,
9,Wheat - Durum,DONLOW AAC,2022,,
9,Wheat - Durum,DONLOW AAC,2023,845,20.0
9,Wheat - Durum,DONLOW AAC,2024,1806,15.2
9,Wheat - Durum,DONLOW AAC,2025,1482,32.3
9,Wheat - Durum,DYNAMIC CDC,2021,7209,14.5
9,Wheat - Durum,DYNAMIC CDC,2022,5890,29.0
9,Wheat - Durum,DYNAMIC CDC,2023,5946,16.5
9,Wheat - Durum,DYNAMIC CDC,2024,3178,37.6
9,Wheat - Durum,DYNAMIC CDC,2025,5826,30.8
9,Wheat - Durum,EVIDENT CDC,2021,,
9,Wheat - Durum,EVIDENT CDC,2022,,
9,Wheat - Durum,EVIDENT CDC,2023,,
9,Wheat - Durum,EVIDENT CDC,2024,,
9,Wheat - Durum,EVIDENT CDC,2025,760,42.2
9,Wheat - Durum,FLARE CDC,2021,,
9,Wheat - Durum,FLARE CDC,2022,5080,43.2
9,Wheat - Durum,FLARE CDC,2023,4180,35.2
9,Wheat - Durum,FLARE CDC,2024,14909,29.1
9,Wheat - Durum,FLARE CDC,2025,10970,34.4
9,Wheat - Durum,FORTITUDE CDC,2021,3109,9.1
9,Wheat - Durum,FORTITUDE CDC,2022,4166,28.9
9,Wheat - Durum,FORTITUDE CDC,2023,2310,22.2
9,Wheat - Durum,FORTITUDE CDC,2024,3250,27.2
9,Wheat - Durum,FORTITUDE CDC,2025,3395,26.5
9,Wheat - Durum,GRAINLAND AAC,2021,14735,10.1
9,Wheat - Durum,GRAINLAND AAC,2022,18616,34.4
9,Wheat - Durum,GRAINLAND AAC,2023,21873,25.7
9,Wheat - Durum,GRAINLAND AAC,2024,26449,33.3
9,Wheat - Durum,GRAINLAND AAC,2025,15443,33.4
9,Wheat - Durum,PRECISION CDC,2021,24674,21.6
9,Wheat - Durum,PRECISION CDC,2022,11338,35.8
9,Wheat - Durum,PRECISION CDC,2023,14336,32.8
9,Wheat - Durum,PRECISION CDC,2024,19045,42.2
9,Wheat - Durum,PRECISION CDC,2025,8111,35.2
9,Wheat - Durum,SCHRADER AAC,2021,,
9,Wheat - Durum,SCHRADER AAC,2022,,
9,Wheat - Durum,SCHRADER AAC,2023,,
9,Wheat - Durum,SCHRADER AAC,2024,,
9,Wheat - Durum,SCHRADER AAC,2025,2689,38.1
9,Wheat - Durum,SPITFIRE AAC,2021,9712,12.2
9,Wheat - Durum,SPITFIRE AAC,2022,8868,36.2
9,Wheat - Durum,SPITFIRE AAC,2023,8823,20.7
9,Wheat - Durum,SPITFIRE AAC,2024,7953,24.9
9,Wheat - Durum,SPITFIRE AAC,2025,5280,31.9
9,Wheat - Durum,STRONGFIELD,2021,2991,11.9
9,Wheat - Durum,STRONGFIELD,2022,4407,28.3
9,Wheat - Durum,STRONGFIELD,2023,4874,26.2
9,Wheat - Durum,STRONGFIELD,2024,4519,26.3
9,Wheat - Durum,STRONGFIELD,2025,8509,32.0
9,Wheat - Durum,STRONGHOLD AAC,2021,2492,12.9
9,Wheat - Durum,STRONGHOLD AAC,2022,7964,29.5
9,Wheat - Durum,STRONGHOLD AAC,2023,5661,21.5
9,Wheat - Durum,STRONGHOLD AAC,2024,8450,25.7
9,Wheat - Durum,STRONGHOLD AAC,2025,10124,34.4
9,Wheat - Durum,TRANSCEND,2021,64004,15.3
9,Wheat - Durum,TRANSCEND,2022,66255,35.2
9,Wheat - Durum,TRANSCEND,2023,75583,22.4
9,Wheat - Durum,TRANSCEND,2024,53899,27.4
9,Wheat - Durum,TRANSCEND,2025,47712,31.4
9,Wheat - Durum,VANTTA CDC,2021,,
9,Wheat - Durum,VANTTA CDC,2022,,
9,Wheat - Durum,VANTTA CDC,2023,,
9,Wheat - Durum,VANTTA CDC,2024,,
9,Wheat - Durum,VANTTA CDC,2025,2885,40.6
9,Wheat - Hard Red Spring,ADAMANT,2021,2234,15.8
9,Wheat - Hard Red Spring,ADAMANT,2022,2314,38.9
9,Wheat - Hard Red Spring,ADAMANT,2023,2369,38.4
9,Wheat - Hard Red Spring,ADAMANT,2024,,
9,Wheat - Hard Red Spring,ADAMANT,2025,513,35.4
9,Wheat - Hard Red Spring,BRANDON AAC,2021,23844,16.5
9,Wheat - Hard Red Spring,BRANDON AAC,2022,24660,34.0
9,Wheat - Hard Red Spring,BRANDON AAC,2023,35128,29.1
9,Wheat - Hard Red Spring,BRANDON AAC,2024,30135,41.4
9,Wheat - Hard Red Spring,BRANDON AAC,2025,27159,33.5
9,Wheat - Hard Red Spring,BROADACRES AAC,2021,,
9,Wheat - Hard Red Spring,BROADACRES AAC,2022,,
9,Wheat - Hard Red Spring,BROADACRES AAC,2023,400,36.3
9,Wheat - Hard Red Spring,BROADACRES AAC,2024,4007,39.8
9,Wheat - Hard Red Spring,BROADACRES AAC,2025,8460,38.1
9,Wheat - Hard Red Spring,HOCKLEY AAC,2021,,
9,Wheat - Hard Red Spring,HOCKLEY AAC,2022,,
