Year,RM,Spring Wheat,Durum,Canola,Barley,Oats,Peas
2023,95,32.1,32.9,29.2,44.7,51.6,26.3
2024,95,41.4,47.2,28.8,74.8,69.6,34.8
2015,96,33.7,42.23,32.58,59.7,74.65,33.2
2016,96,37.6,53.1,37.9,73.5,65,38.5
2017,96,42.34,42.55,31.44,53.76,58.56,34.7
2018,96,55.1,56.3,41.8,74.5,80,43.5
2019,96,56.1,56.4,43.3,56.4,88.5,36.7
2020,96,51.1,50.5,40.8,60.5,81.8,46.4
2021,96,42.3,37.7,26.1,36.2,42.7,30.1
2022,96,51.2,60.5,42.9,66.2,87.7,39.4
2023,96,44.8,38.6,29.2,42.8,,33.6
2024,96,44.9,48.1,30.9,42.3,90.1,36.9
2015,97,33.6,31.65,38.06,48.64,68.57,36.4
2016,97,40.3,44.6,41.2,65.8,112.8,50.5
2017,97,33.59,37.04,28.3,31.7,52.42,26.4
2018,97,40,42.7,42.9,69.5,64.5,46
2019,97,42.4,71.8,33.6,52.4,69.9,51.8
2020,97,39.7,45.6,39.2,51.1,70.8,33.4
2021,97,35.1,42.8,29.1,40.6,55.6,30.3
2022,97,48.2,62.4,40,70.7,89.7,35.9
2023,97,37.3,41.4,31.6,48.1,71.6,33.3
2024,97,36.8,34.8,21.1,56.9,55.1,30.8
2015,98,35.72,43.37,37.4,72.53,102.78,37.4
2016,98,49.6,56.1,46.3,72,121.8,40.3
2017,98,39.07,35.36,26.61,56.94,46.78,22.5
2018,98,65,44.5,37.3,,133,46
2019,98,40.5,48.2,33.9,69.1,52.3,
2020,98,55.8,57.7,44.3,82.7,83.1,39.2
2021,98,43.5,44,30.3,33.2,83.5,20.1
2022,98,49.7,67.6,49,63.1,119.4,38.8
2023,98,41.3,47.1,32.1,76.7,60.8,25.7
2024,98,39.7,41.9,23.4,31.9,69.7,18.5
2015,99,13.4,35.84,40.25,14.3,30.78,20.2
2016,99,,55.3,48.4,32.4,32.4,24.8
2017,99,19.22,29.78,27.03,15.46,,17.3
2018,99,26,32.1,39,20.4,,20.1
2019,99,32.4,43.3,36.4,67.1,46.7,28.4
2020,99,37.7,52,45.8,72.7,,35.7
2021,99,18.3,33.6,26.4,36.1,17.1,14.6
2022,99,26.7,57.9,47.1,46.5,66.7,22.4
2023,99,,39,31.9,29.4,54.7,20.5
2024,99,22.8,44.8,31.3,43.8,,13.8
2015,100,16.97,21.85,24.95,33.65,30.4,20.7
2016,100,31.3,44.2,44.3,52.4,73.5,35.1
2017,100,35.55,29.85,29.08,48.06,,20.6
2018,100,25,29.8,33.5,44,24,25
2019,100,36.3,50,42.1,66.7,80.9,29.4
2020,100,43.8,54.5,41.2,60.5,,34.1
2021,100,32.8,34.2,28.5,48.9,50,21.6
2022,100,70,55.5,46,68.7,73.9,27.9
2023,100,52.9,42.8,31.1,56.6,60,27
2024,100,52.3,46,34.9,66.9,100,28
2015,101,19.54,23.93,23.98,32.76,34.46,20.6
2016,101,27.9,52,40.6,50.8,43.9,35.4
2017,101,15.1,26.2,23.55,20.33,,14.5
2018,101,21,30.7,28.5,31,36,29
2019,101,26.7,44.2,33.2,31.6,33,31.3
2020,101,30.7,47.5,28.9,49.9,38.8,17.4
2021,101,26.8,35.6,24.2,26.8,13.7,30.6
2022,101,25.6,42.9,34.3,48.6,,33.8
2023,101,,28.3,24.9,15.4,,29.9
2024,101,,34.9,27,42.9,,12.7
2015,102,32.9,34.46,39.37,47.92,,29.1
2016,102,22.6,45.4,48.4,75.8,70,36.9
2017,102,15.07,29.32,21.89,,,14.8
2018,102,25,36,35,65,,27
2019,102,50.2,50,37.6,69.9,,29.1
2020,102,30.9,52.1,35.7,65.8,,30.9
2021,102,35.3,30.5,23.2,42.5,,25
2022,102,45.7,39.6,32.2,63.1,,29.4
2023,102,29.2,23.7,20.9,44.8,,29.7
2024,102,,30,19.7,67,,18.5
2015,103,27.11,39.46,38.11,32.66,43.51,28
2016,103,44.9,53.6,44.4,53.3,,34.8
2017,103,21.53,36.7,29.58,30.97,,20.1
2018,103,35,36.7,29.6,48,,21.5
2019,103,44.7,39.8,30,54.4,,30.5
2020,103,42.8,48.2,35.6,55.2,35.9,20
2021,103,19.1,16.2,18.2,10.2,,19.7
2022,103,32.5,29,22.2,30.1,61.1,22.6
2023,103,,18.4,16.7,22.5,,22.6
2024,103,26.5,21.2,17.5,45.9,,20.8
2015,104,27.6,37.32,37.41,40.68,29.98,27.7
2016,104,28,49.6,44.3,43.6,50,35.2
2017,104,32.66,40.17,33.1,15.71,,25.8
2018,104,34,40.2,35.8,40,,25.8
2019,104,39.3,44.2,35.1,44.9,62.5,29.6
2020,104,34.1,41.2,31.5,43.2,,29.8
2021,104,9.4,7.7,8.5,8.7,,7.5
2022,104,22.2,22,15,25.6,,16.2
2023,104,40.6,24.4,22.7,28.9,,20
2024,104,20.9,21.8,14.9,41.7,,10.9
2015,105,32,37.22,37.35,46.17,89.94,38.3
2016,105,30.3,44.3,39.9,63.7,,33.3
2017,105,34.59,38.89,26.3,44.27,50,25.4
2018,105,26.5,30.6,27.6,42.5,30,23.9
2019,105,39,43.5,35.5,56.4,,29.7
2020,105,35.9,41.4,34.6,64.3,,44.9
2021,105,11.1,7.2,7,12.1,,7.6
2022,105,26.8,24.4,16.8,35.2,54.8,19.8
2023,105,21.8,18.7,18.6,30.5,,12.3
2024,105,30,24.7,16.6,36.8,,
2015,106,34.93,35.46,29.79,43.25,,26.3
2016,106,38.7,49,29.1,62.8,35.8,26.5
2017,106,24.72,31.68,27.45,32,,25.3
2018,106,25.5,27.9,23.7,39.5,37,25.3
2019,106,36.6,36.5,32.5,58.5,55,30
2020,106,34.4,34.8,24.7,57.8,,40.1
2021,106,16.2,9,7.5,12.7,,9.2
2022,106,25.5,25.2,19.4,40.1,60,20.8
2023,106,19,18,17,26,,17.7
2024,106,24.1,24.1,15.6,34.8,44.5,19.4
2015,107,34.91,39.7,36.44,47.18,47.23,21.8
2016,107,31.9,53,45,63.6,26.7,32.9
2017,107,28.09,35.33,30.03,58.26,,30.6
2018,107,22,30.7,28.4,26,30,28.8
2019,107,57.5,55.9,43.3,72.1,54.3,36.1
2020,107,42.6,39.9,32.9,67.2,,39.5
2021,107,12.5,10.3,9.8,12.9,,12.1
2022,107,35.1,31.4,23.2,48.6,,28.9
2023,107,16.6,16.8,15.3,25.6,,18.2
2024,107,28.7,26.8,19,46.7,,24.3
2015,108,40.85,42.84,33.56,64.24,36.02,28.4
2016,108,38.2,50.6,44.7,57.5,65,30.5
2017,108,21.95,28.3,22.6,44.16,,24.5
2018,108,29,34.1,26.5,52,,21.8
2019,108,46.7,55.2,40.1,74.5,,41.2
2020,108,29.3,31.7,22.6,46.2,,31.9
2021,108,13.5,16.8,15.2,19.5,,18.5
2022,108,33.9,32.6,20.8,38.1,20.2,24.1
2023,108,14.1,13.9,11.4,17.2,,14.8
2024,108,35,27.6,15.5,39.3,35.8,26.9
2015,109,39.53,39.48,33.81,65.15,,34.6
2016,109,48.2,48.9,43.6,57.9,72,38
2017,109,35.61,38.61,27.65,49.55,,28.6
2018,109,31,32,26.5,54,,27
2019,109,53,55,43,71.7,,41.9
2020,109,36.4,34.7,27,53.1,,34.8
2021,109,25.9,20.1,20.5,19.1,,20.5
2022,109,39.9,37.8,27.5,58.7,44.9,33.6
2023,109,24.1,15.7,14.7,25.7,,20.3
2024,109,43.8,31.7,27.4,49.3,,25.7
2015,110,30.63,35.98,32.74,41.79,37.32,25.9
2016,110,35.8,60.1,,62.2,67.1,22.7
2017,110,20.91,31.67,,28.75,,
2018,110,20,21.5,,27,25,23.5
2019,110,,34.7,,43.6,,
2020,110,23.1,19.2,,26.2,20,31.9
2021,110,5,9.9,,12.6,11,12.2
2022,110,28.4,31.8,,52.9,,39
2023,110,25.9,11.6,24.1,9.3,,16.6
2024,110,15,20.6,17.4,39.4,20,20.9
2015,111,20.87,22.11,17.79,41.46,83.89,21.9
2016,111,54.6,,55.6,72.3,136.8,54.9
2017,111,40.68,42.4,33.47,64.24,,33.5
2018,111,33.5,39,36,63,,36
2019,111,26.2,23.2,22.7,35.7,,32.4
2020,111,28.7,22.6,25.2,31.9,,36.6
2021,111,31.8,11.6,19.4,23.7,,14.6
2022,111,30.9,28.2,21.7,51.8,,36.4
2023,111,23.4,15.6,17.1,32.9,15.8,20.5
2024,111,43.3,37.5,28.5,76.9,,39.9
2015,121,48.63,,37.75,71.87,61.47,36.8
2016,121,51,,38.3,71.9,72.5,26.5
2017,121,64.45,,43.71,84.06,84.73,
2018,121,67,,47,87,102,
2019,121,67.8,,48.3,89,112.8,63.6
2020,121,63.4,,49.2,90.2,112.8,77
2021,121,50.2,,33.1,66.9,68.5,42.3
2022,121,57.5,,37.7,63.1,76.4,51
2023,121,65.4,,49.4,67.1,86.5,
2024,121,69.3,,44,104.3,84.8,
2015,122,44.36,,37.33,68.73,77.29,
2016,122,47.6,,39.1,77.4,61.6,51.1
2017,122,45.07,,31.48,55,63.45,40
2018,122,55.5,,35,65,73.6,55
2019,122,53.5,,40.2,67.4,89.5,50
2020,122,49.2,,43.8,70,71.5,70
2021,122,40.7,,28.5,59.5,59.1,40
2022,122,44.5,,32.7,68.1,85.3,50
2023,122,43.4,,35.9,49.8,68.2,45
2024,122,52.5,,35.3,71.6,73.6,
2015,123,40.74,,34.43,54.23,67.43,33.5
2016,123,49.9,53.8,41.8,66.1,81.2,40.6
2017,123,43.75,,35.85,58.12,69.34,38.8
2018,123,47.3,,40.9,67.5,73.5,46
2019,123,55.4,,45.2,66.6,94.5,48.2
2020,123,59.7,68.3,43.6,65.2,87.5,55.9
2021,123,39.1,,30.9,55.8,65.5,36.1
2022,123,50.5,,41.3,76.3,104.3,42.4
2023,123,43.8,,36.2,70.5,79.4,31
2024,123,51.1,50.1,38.5,81.2,83.5,
2015,124,38.21,,35.47,49.52,75.21,30.1
2016,124,47,64.4,44,68.2,90.4,43.2
2017,124,42.69,32,33.34,65.87,68.07,35
2018,124,46.6,49,33.3,64.8,73.7,40.5
2019,124,47.4,53.1,38.2,69.4,77.5,41.5
2020,124,43.7,46.6,37.4,63,65.4,42.9
2021,124,37,31.3,22.8,50.2,48.2,30.3
2022,124,48.1,45.5,36.4,68.7,86.5,44
2023,124,42,39.2,35.5,53.7,64.1,35.7
2024,124,54.1,46.5,35,68.2,81.6,47.3
2015,125,40.69,38.62,34.87,63.36,69.6,36.7
2016,125,46.2,48.1,42.4,74.3,83.2,39.4
2017,125,46.09,48.33,35.72,61.47,78.59,37.9
2018,125,50.7,55.5,39.5,67.6,74,45
2019,125,56.6,56.4,47.5,78.4,82.9,46.6
2020,125,50.9,48,41.1,67.7,86.3,42.4
2021,125,41.8,40,32.1,56.1,62.8,36
2022,125,52.4,58.8,44.3,71.5,98.1,43
2023,125,48.1,41.6,39.6,67.6,61.8,39.7
2024,125,59.6,53.4,36.2,83.1,82.1,43.5
2015,126,38.08,37.28,31.47,54.04,66.6,25.4
2016,126,45.1,54.5,42.9,71.6,79.9,33.6
2017,126,40.99,40.95,31.22,57.71,54.22,27.7
2018,126,46.4,47.1,36.6,58,60,44
2019,126,44.4,47.5,40.5,54.7,39.6,38.6
2020,126,50.3,51.1,40.3,61.9,50.8,44.1
2021,126,41.2,37.7,27.4,49.1,21.9,29.6
2022,126,53.9,62.6,45.9,73.4,81.9,40.5
2023,126,51.7,46.9,40.9,72.5,84.4,41
2024,126,46,47,34.3,61.8,65.4,37.2
2015,127,33.39,27.69,33.44,48.6,56.82,34.4
2016,127,44.2,56,41.2,63.9,84.8,45.4
2017,127,39.57,38.15,26.14,60.07,63.41,26.9
2018,127,45.4,46.4,36.7,72,82.3,34.3
2019,127,47.4,45.5,36.3,64.6,63.1,34.3
2020,127,40.6,38.8,34.8,59.7,58.9,35
2021,127,34.3,34.7,28.5,49.8,63.1,26.7
2022,127,56.2,61.5,43.1,81.4,104.9,26.9
2023,127,49.5,48.8,38.7,68.3,65.1,39.5
2024,127,45.3,43.4,29.6,65.8,90,27.5
2015,128,32.52,38.86,37.17,48.82,59.74,28.7
2016,128,48.6,65.7,48.9,90.2,155.8,41.6
2017,128,40.7,36.96,25.3,58.81,,23.4
2018,128,51.9,42.8,37.2,71,107,32.8
2019,128,55.9,47,45.9,74.6,79.5,41.3
2020,128,51.3,52.9,40.4,87.9,100.7,43.9
2021,128,44.8,38.7,30.4,50.7,,22.4
2022,128,63.5,72.2,50,86.8,149.3,30.5
2023,128,62,51.4,42.5,83.1,,26.8
2024,128,44.7,56.3,33.4,86.6,,50.8
2015,129,20.16,23.24,29.89,44.02,43.72,24.6
2016,129,41.1,59.4,44.5,50.6,,36.7
2017,129,38.61,44.04,30.68,51.27,,27.6
2018,129,47.6,50.2,43.5,62,,31
2019,129,42.6,46.7,42.5,56.5,60,29.5
2020,129,43.9,53.3,39.3,86.9,,40
2021,129,32,33.9,28.4,,,
2022,129,38.1,56,50.6,,,33.3
2023,129,48.1,54.8,42.6,76.5,,44.9
2024,129,,59.5,41.9,,,41.9
2015,130,29.55,33.18,35.56,30.34,,10.9
2016,130,47.7,56.5,47.9,70.9,53.2,23.4
2017,130,47.71,42.02,27.64,47.76,,20.1
2018,130,47.7,42,33.3,48,,20.1
2019,130,47.5,47.3,46.7,62.1,,19.3
2020,130,62.4,62.1,45.6,69.1,,33
2021,130,38.3,35.4,26.6,56,,21.8
2022,130,58.2,64.1,50.6,73.9,,33.9
2023,130,31.4,49.9,39.3,49.9,,19.5
2024,130,46.2,48.2,35.7,62.8,,31.6
2015,131,28.49,27.35,24.64,59.79,34.73,21
2016,131,42.3,48.9,42.4,59.2,59.3,27.9
2017,131,29.36,30,21.5,48.04,50,27.3
2018,131,28.3,30,25.5,45,37,25.5
2019,131,44.2,41.4,37.3,63,64.1,32.9
2020,131,47.7,47.8,36.1,64,65.6,48
2021,131,28.1,28.1,14.8,34.1,24.5,25.3
2022,131,44.3,44.7,36.1,62.4,65,34.6
2023,131,36,37.8,31.4,55.7,70,29.7
2024,131,48.3,45.6,37.5,61.9,19.7,33.5
2015,132,16.12,26.76,20.12,35.56,37.7,
2016,132,32.6,50.7,42.6,62.6,48.2,37.5
2017,132,27.97,34.36,19.81,43.32,50,25
2018,132,31,32.5,17,65,50.5,30
2019,132,29.6,35.7,34.4,58.6,70,30
2020,132,35,35.2,27.3,60,60,20
2021,132,21,26.9,20.8,33.7,37.7,12
2022,132,31.3,30.9,29.4,40.1,75,20
2023,132,26.7,27.6,21.8,29.8,44.6,15
2024,132,32.4,33.4,20.6,46.4,40.7,20
2015,133,23.98,33.12,27.32,41.06,50.27,24.9
2016,133,31.1,49.6,54.2,75,100,41.6
2017,133,24.74,39.14,23.31,,17.29,22.1
2018,133,36,33,37,,48,38
2019,133,30.1,37.4,27.4,38.7,29.3,21
2020,133,33.3,46.1,35.1,40.1,,
2021,133,17.6,15.3,13,1.3,,16.4
2022,133,31.9,34.9,24.1,27,,25.4
2023,133,17.9,24.1,22.4,3.8,,25.5
2024,133,28.1,30.9,23.9,30.8,,28.7
2015,134,21.29,24.74,30.86,48.04,41.73,18.9
2016,134,36.8,49.7,39.1,65.3,80.8,34.4
2017,134,26.54,38.99,22.4,30.18,,19.3
2018,134,21.4,32,25.7,21,,9
2019,134,30.2,32.6,30.1,42.4,,22.1
2020,134,30.7,41.4,34.8,45.4,,28.3
2021,134,6.9,11.2,10.3,4.4,,10.1
2022,134,24.8,32,21.3,30.5,,21.6
2023,134,31.9,26.2,22.4,27.9,,25.4
2024,134,20.6,24.7,14.5,13.7,,19
2015,135,30.59,30.26,27.43,47.21,46.08,25.9
2016,135,38.7,54.6,45.4,67.9,70.1,34.5
2017,135,27.05,40.75,29.61,55.27,67.11,24.6
2018,135,19.2,32.9,25,26,21,26
2019,135,39.2,40.3,33.8,56.7,51.8,21
2020,135,46.6,49.5,40.7,61.4,,44.1
2021,135,12.1,9.9,12.4,5,5.1,12.7
2022,135,31.1,36,29.1,43.9,,26.3
2023,135,35.2,24.5,22.6,33.8,4.6,24.1
2024,135,28.2,21.9,17.4,30.6,,15.9
2015,136,32.63,31.16,32.37,46.85,74.96,20.2
2016,136,34.9,49.5,41.8,67.8,,32.2
2017,136,39.41,36.26,28.23,59.73,,26.5
2018,136,40,35,27,53,,28
2019,136,51.4,46.4,37.5,74.3,,38.4
2020,136,49.8,53.4,39.8,77.6,,34
2021,136,15.7,13.5,14.9,24.5,,15.1
2022,136,42.7,34.5,25.8,61.5,,27.5
2023,136,30.8,23.8,20.2,44.4,,23.3
2024,136,30.1,21.9,15.7,39.2,,20.7
2015,137,32.71,34.08,39.42,56.6,,26.5
2016,137,40.9,56.5,53.3,69.8,,51
2017,137,33.95,36.35,30.31,57.21,,28
2018,137,36,36.4,27,42.8,,25.3
2019,137,50,52.7,44,77.4,,44.4
2020,137,48.8,48,40.3,70.8,,45.6
2021,137,17.3,12.8,15.9,15.9,,14
2022,137,41.8,36.2,30.5,58.7,13.7,31.5
2023,137,21.6,20.2,19.7,31.6,,18.1
2024,137,24.7,25.5,17.7,35.5,,27.2
2015,138,46.49,40.28,39.63,67.4,44.5,40.4
2016,138,49.8,56.6,47.4,87.9,78.3,45.1
2017,138,47.35,37.6,28.5,48.92,,28.1
2018,138,30.3,34.2,28.5,50,48.5,28.1
2019,138,47.4,49.4,45,53.9,60,39.8
2020,138,46.8,41.7,34,72.6,,52.4
2021,138,20.8,15.3,18.2,27.1,19.2,17
2022,138,42.5,40,25.1,70,38.1,34.1
2023,138,21.2,16.2,18.2,28.7,18.6,15.3
2024,138,34.3,31,23.5,41.7,28.3,27.4
2015,139,32.1,34.92,30.71,54.96,46.2,24.4
2016,139,,48.9,44.2,95.4,52.1,42.6
2017,139,34.39,36.61,26.02,48.95,51.33,27.4
2018,139,33,36,26,47,35,22
2019,139,42.5,41.3,31.1,50,47.5,31.1
2020,139,32,35.1,28.4,49.2,70.9,32.4
2021,139,17.4,14.9,12.7,16.3,15.2,16.2
2022,139,23.1,21.5,9.8,23.3,34.1,16.5
2023,139,11.8,9.5,6.9,10.3,3.2,11.3
2024,139,21.7,20,15.9,29.3,,24.7
2015,141,34.47,34.78,32.85,48.29,,23.1
2016,141,47,43.5,52.9,48.4,,43.4
2017,141,30.03,28.89,22.02,31.5,,23.4
2018,141,41,28.9,,34,,23.4
2019,141,32.8,20.7,,27.1,,24
2020,141,27.9,19.2,,24.2,,19
2021,141,9.6,7,5.8,8.9,,6.8
2022,141,12.8,16.5,7.5,23.9,,15.7
2023,141,7.3,5.1,3.4,7.7,,7.3
2024,141,19.3,15.8,2.1,15.9,,16.7
2015,142,30.47,33.33,25.7,43.87,28.79,18.9
2016,142,36,40.3,42.1,55.2,,36.9
2017,142,32.39,34.03,17.71,35.36,,27.1
2018,142,29.2,29,20.4,35.4,,23.1
2019,142,27.4,24.3,14.9,34.9,,22.3
2020,142,28.8,27.3,14.6,36,,30.8
2021,142,11.7,8.5,9.8,13.9,,11
2022,142,26.4,28,19.9,31.7,,27.7
2023,142,6.3,7.7,4.8,9.8,,8.7
2024,142,21.6,20.8,12.5,31,,21.5
2015,151,37.61,27,39.18,58.34,76.43,
2016,151,47.7,35,38.3,59.6,74.9,27.8
2017,151,45.32,40,39.56,48.57,51.61,
2018,151,53.4,,42.6,64.5,75.5,
2019,151,53.7,35,46.2,64.5,71.4,59.6
2020,151,52,40,42.8,78.5,76.8,
2021,151,42.3,,30.6,62.1,68.5,
2022,151,50.4,,41.2,76.3,91.4,
2023,151,52.8,35,41.9,51.4,70,
2024,151,58,35,44.6,58.7,73.5,
2015,152,41.44,,43.27,64.03,66.91,34
2016,152,45.7,45.9,38.7,56.7,63.2,35.3
2017,152,49.79,,37.45,71.83,79.78,35.5
2018,152,54.3,,40.6,,68.4,34
2019,152,58.1,,45.2,60.8,71.4,48.4
2020,152,53,,41.8,,70.4,48.2
2021,152,42,,28.1,66.7,50.3,29
2022,152,51.8,,36.1,,78.6,38.5
2023,152,50.2,,40.3,67,48.8,
2024,152,53.7,,34.2,58.3,62.2,
2015,153,34.39,,34.06,76.64,79.88,
2016,153,40.1,,40.9,53.1,79.7,53.3
2017,153,43.43,,31.03,57.06,74.67,
2018,153,62,,34.8,75,86,64
2019,153,59.9,,44,89.9,112,40.6
2020,153,53.2,,43.1,69.3,97.5,
2021,153,43.1,,27.4,70,76.2,36.6
2022,153,54.6,,41.3,61.9,121.6,
2023,153,49.2,,37.4,84,79.6,20.9
2024,153,59.8,,40.9,93.5,107.3,58.1
2015,154,43.52,,36.44,69.33,82.46,45.4
2016,154,44.9,54.5,41.5,64.6,64.9,41.8
2017,154,53.18,,37.78,66.02,78.95,36
2018,154,53.2,,37.8,67.9,77.5,36
2019,154,57.1,,44.1,93.6,102.7,46.7
2020,154,48.8,,38.9,72.4,77,41.6
2021,154,41.1,,24.2,48.3,57.6,36
2022,154,48.2,,38.6,69.2,90.8,43.9
2023,154,47.3,38.3,35,71.7,82.8,37.2
2024,154,49.8,45.6,33.7,69.9,86.5,43
2015,155,43.98,47.15,36.07,67.69,67.04,44.3
2016,155,53.8,62.8,43.6,78.6,84.6,37.5
2017,155,50.33,50.52,38.91,72.22,72.94,40.6
2018,155,51.3,47,39.7,78.1,76.5,50
2019,155,58.7,50.9,49.3,88.1,106.2,53.2
2020,155,45.8,46.5,39.6,67.2,70.4,42.1
2021,155,52.1,49.6,30.1,59.1,63.6,37.4
2022,155,59.7,68.9,44.1,84,116.3,50.3
2023,155,58.3,42.9,42.8,77.4,116.7,39.4
2024,155,61.1,48.1,38.5,87.2,78,42.3
2015,156,43.41,42.05,44.32,47.93,60.42,38.7
2016,156,52.7,48.7,47.5,62.7,90.6,44.5
2017,156,51.67,42.98,41.83,58.99,73.99,38.5
2018,156,59,48.5,42,68,86,43.5
2019,156,47.9,47.9,45,61.8,70.5,42.9
2020,156,47.6,47.6,42.8,65.7,69.3,44.3
2021,156,45.7,36.4,34.4,66.5,61.5,35.5
2022,156,66.8,67.9,54.5,77.6,128.1,52.8
2023,156,55.8,57.2,45.8,74.4,87.2,52.3
2024,156,63.6,45,37.3,84,112.7,42.6
2015,157,41.03,39.23,40.16,59.12,54.04,37.5
2016,157,45.3,45,41.2,72.3,70.3,24.4
2017,157,47.17,55.75,30.26,64.61,80.5,36.9
2018,157,54.1,55,37.1,70.3,61,45
2019,157,49.8,55.7,41.7,60.4,43.3,41.6
2020,157,52.3,53.1,39.2,63.2,63.9,47.1
2021,157,42.4,36.1,27.5,42,34.8,30.2
2022,157,60.1,65.4,43.4,72.7,70.6,39.4
2023,157,66.7,49.4,47.8,76.3,,45.7
2024,157,55,44,34.5,65.4,81.7,38
2015,158,34.47,36.92,38.63,50.08,68.65,30.3
2016,158,48.4,50.1,46,67.8,66.9,38.7
2017,158,40.88,43.72,30.45,65.36,,32.2
2018,158,44.7,43.9,37.2,68.2,74,40
2019,158,50.8,51.5,47.4,70.9,113.5,40.1
2020,158,55.3,50.2,37.5,76.5,88.3,40
2021,158,35.4,31.6,19.7,40.2,,23.9
2022,158,55,55.9,42.8,74.6,,47.7
2023,158,61.5,54,44.9,79.3,,45.6
2024,158,50.3,43.7,30.8,59.4,,36.3
2015,159,15.38,35.08,41.81,45.75,60.66,22.1
2016,159,44,55.7,48.2,61.1,,48.5
2017,159,39.59,46.84,27.52,60.03,,28.2
2018,159,43.8,47.7,38.8,55.7,64,35.4
2019,159,57.3,57.5,49.2,77.4,131.8,42.5
2020,159,57.8,63.5,46.4,77.2,141.5,44.2
2021,159,35.3,33.3,17.8,49.4,93.5,26
2022,159,53.1,57,48.1,71.6,,49.4
2023,159,52.3,55.7,47.4,69.7,,32.1
2024,159,50.2,53.9,42.9,78.9,,41.4
2015,160,33.12,32.32,32.18,40.37,76,30.5
2016,160,44.4,60.1,46.4,71.6,,
2017,160,49.6,48.55,34.64,65.81,,30.6
2018,160,41.2,43.6,37.3,57.9,85,30.9
2019,160,44.2,42.9,41.4,71.4,,41.3
2020,160,58.3,62.5,50,97,,54.3
2021,160,43.9,33.1,21.8,68.9,70.8,28.8
2022,160,53.2,53.7,41.5,91.9,101.9,47.3
2023,160,47.4,48.5,42.4,77.4,74.8,45.8
2024,160,53.7,55.2,43.5,93.8,98.4,40.6
2015,161,38.82,30.23,31.69,63.64,68.43,20.5
2016,161,35.8,49.5,46.6,60.6,,24.8
2017,161,52.31,45.35,33.76,54.92,,29.9
2018,161,46.5,39.2,37.4,49.3,,24
2019,161,54.2,48.9,45.7,60.9,98.4,39.3
2020,161,49.3,54.5,40.1,73.4,93.5,44.5
2021,161,40.3,38.7,25.3,47.3,68.8,27.3
2022,161,49.2,55.5,44.9,64.8,113,29.6
2023,161,42.7,40.3,36.3,53.6,,33.5
2024,161,53.7,57.8,44.4,68,,41.4
2015,162,23.2,27.98,23.39,37.47,,20.5
2016,162,50,56.6,50.7,85.9,,
2017,162,39.81,47.13,34.19,61.16,,34.7
2018,162,43.9,51,49,65,54,
2019,162,51.9,51,53,,82.2,41
2020,162,49.5,55.6,42.8,64.3,,
2021,162,35.6,34.9,22.5,20.8,43.9,33
2022,162,45.3,47.7,38.6,46.5,,47.8
2023,162,45.6,38.2,36.8,35.1,,33.8
2024,162,41.7,52.1,43.8,53.8,75.1,44.6
2015,163,16.96,26.58,23.15,35.9,32.6,20.1
2016,163,36.6,48.9,47.8,49.2,85.8,20.6
2017,163,31.28,33.47,27.04,,,17.9
2018,163,41,43,44,,57,25
2019,163,28.8,31.5,27.6,45.2,,14.4
2020,163,36.1,41.6,35.9,38.4,,24.4
2021,163,23,20.2,15.7,8.8,4.5,12.2
2022,163,28.1,30,24.3,23.1,50.5,21.2
2023,163,23.3,26.6,24.3,24.8,,13.9
2024,163,35.2,32.9,20.5,34.5,69.2,23.2
2015,164,24.78,24.03,29.51,,27.6,22.9
2016,164,36.7,42.9,38.4,55,62.5,36.3
2017,164,24.3,34.3,24.44,,,17.6
2018,164,33,32,30,,,27
2019,164,41.3,33.1,32.8,36.5,,25.3
2020,164,43.9,39.9,30.9,,,35.2
2021,164,14.9,7.6,11.8,3.3,,3.5
2022,164,24.6,38.3,22.6,36.7,,32.2
2023,164,21.6,22.7,20.2,11.3,22.8,21.1
2024,164,30.6,28.9,19.9,28.6,,27
2015,165,30.94,31.17,34.72,57.6,48.88,27.3
2016,165,39.8,36.5,41,47.9,49,39.9
2017,165,36.45,35.27,27.58,36.75,,22.9
2018,165,33.6,35.3,31.9,55.5,,24.6
2019,165,37.2,39,32.5,57,,27.8
2020,165,42.2,47.9,36.3,71.4,,34
2021,165,13.5,10.4,10.6,7.7,,12.9
2022,165,30.3,32.1,18.8,28.3,,22.9
2023,165,21.6,20,19.8,22.9,,18.1
2024,165,25.8,25.1,15.7,45.6,,19.5
2015,166,29.21,32.88,25.24,58.58,54.49,24.6
2016,166,39.6,50.2,45.2,68.2,70.4,35.9
2017,166,32.32,32.79,25.37,59.53,60,23.8
2018,166,32.3,30.7,28.2,45,,18.8
2019,166,41.9,41.1,40.6,68.8,,37.6
2020,166,47,52,39.6,75.6,,44.2
2021,166,13.6,9.6,13.6,12.4,,12.1
2022,166,20.1,24.9,16.4,42.8,14.7,26.7
2023,166,18.4,15.7,15.8,27.4,,20.5
2024,166,24.7,22.5,15.8,42.1,,19.5
2015,167,30.46,31.33,32.59,51.78,56.27,20.1
2016,167,41.7,47.3,41.3,67.4,60,44.1
2017,167,40.49,41.31,34.9,49.86,,34.8
2018,167,27.9,35.7,33.4,45.4,50,27.6
2019,167,45.9,44.6,41.1,66.6,60.1,36.2
2020,167,51.6,53,42.3,66.5,68.1,43.5
2021,167,20.3,12.1,16.8,21.4,3.6,16.5
2022,167,37.3,33.8,27,39.8,52.1,23
2023,167,21.6,18.6,18.6,26.5,39.6,20.9
