Year,RM,Spring Wheat,Durum,Canola,Barley,Oats,Peas,Lentils,Flax
2020,96,51.1,50.5,40.8,60.5,81.8,46.4,1764,27.2
2021,96,42.3,37.7,26.1,36.2,42.7,30.1,1362,15.2
2022,96,51.2,60.5,42.9,66.2,87.7,39.4,1494.3,31
2023,96,44.8,38.6,29.2,42.8,,33.6,1536.2,18
2024,96,44.9,48.1,30.9,42.3,90.1,36.9,1125,21.6
2025,96,62.3,64.7,47.2,61.6,143.5,53.5,1836,27.4
1990,97,31.7,31.4,,48.3,60,,,20.7
1991,97,21.2,21.3,,30,50,,,13.9
1992,97,38.3,38.5,30,53.5,61.6,17,480,18
1993,97,31,36,29.5,45.2,61.3,20,1194,21.6
1994,97,22.2,28.9,18.2,33.1,70,18.3,1059,17.5
1995,97,21.5,26.3,14.9,37,40,25,883,20
1996,97,30,30.4,20.1,44.9,52.8,22.5,1235,19.1
1997,97,14.2,15.7,8.5,28.5,27.7,17.1,788.8,12.4
1998,97,19.9,24,14.1,37.9,46.1,28.8,1081.3,15.9
1999,97,26.2,27.1,22.2,34.6,35.5,29.6,1265.1,16
2000,97,20.5,25.5,21.1,28.8,33.7,24.8,656.4,15.9
2001,97,23.8,26,17.8,38.6,46.2,28.2,691,16.1
2002,97,24.8,27.5,16.7,42.3,39.5,22.6,799,14.9
2003,97,16,19.3,10.1,27.1,24.2,14.7,802,10.5
2004,97,27.2,25.7,22.1,31.9,51,28.9,820,12.3
2005,97,31.8,36.3,25.2,59.6,46.7,28,960,19.4
2006,97,25.2,32.3,23.2,31.4,43.1,24.3,1156,19
2007,97,23.4,30.3,24.1,37.1,46.8,29.8,1653,18.1
2008,97,27.1,31.5,31,42.7,65,32.8,1647,19.1
2009,97,33.8,39.9,36.4,62.4,80,49,1527,28.2
2010,97,29,38,29.2,29.1,56.6,17.7,967,14.8
2011,97,19.9,19.2,14,15.5,15.7,13.1,429,8.7
2012,97,30.8,35.5,27.1,52.9,53.9,33.4,1051,24.2
2013,97,43.1,52.4,37.6,55.5,49.3,43.1,1449,19.2
2014,97,34.95,41.39,32.25,39.5,78.96,32.2,850.11,23.53
2015,97,33.6,31.65,38.06,48.64,68.57,36.4,1192.2,21.67
2016,97,40.3,44.6,41.2,65.8,112.8,50.5,1631,28.9
2017,97,33.59,37.04,28.3,31.7,52.42,26.4,1026.21,21.31
2018,97,40,42.7,42.9,69.5,64.5,46,1536,25.1
2019,97,42.4,71.8,33.6,52.4,69.9,51.8,1433,17.9
2020,97,39.7,45.6,39.2,51.1,70.8,33.4,1461,27.7
2021,97,35.1,42.8,29.1,40.6,55.6,30.3,1320,16.4
2022,97,48.2,62.4,40,70.7,89.7,35.9,1237,28.2
2023,97,37.3,41.4,31.6,48.1,71.6,33.3,1492,16.4
2024,97,36.8,34.8,21.1,56.9,55.1,30.8,1167,12
2025,97,57.3,61,46.2,74.1,105.4,44.3,2087,26.1
1990,98,38.4,42.4,,50,55,,,20
1991,98,25,29.4,,40,45,,,22.5
1992,98,32.4,28.9,,75,120,28,1140,18
1993,98,27.1,30.5,,47.3,64,28.9,1014,22
1994,98,22.6,28.9,23.2,30.4,62.2,28.2,1221,19
1995,98,29.5,29,10.2,28.5,46.8,13.6,1283,19.5
1996,98,30.3,34,17.5,58.4,66,28.4,1070,20.4
1997,98,22.5,22.7,20.8,33.2,48.1,18.5,1017.4,15.5
1998,98,21.2,27,17,41.5,56.3,32.8,1092.3,16.7
1999,98,21.1,26.8,20.3,35.6,59.3,18.9,1107.7,14.2
2000,98,21.5,26.9,25.1,38.8,49,35.6,863.5,14
2001,98,26.7,32.8,23.6,46.7,60.8,29.2,1444,19.9
2002,98,29.4,32,21.3,44.8,69.1,23.2,1071,17.5
2003,98,22.5,24.6,12.9,26.6,32.5,16.3,801,18.2
2004,98,30.2,25.4,26.9,56.4,65,41.6,987,12.2
2005,98,41.5,41.7,36,61.5,68.2,28.4,1192,22.6
2006,98,30.9,29.5,24.4,50.6,36.4,28,1082,21.6
2007,98,33.5,30,26.6,,,31.7,1280,15.2
2008,98,36.1,33.7,22.9,,105.7,25,1741,20.3
2009,98,40.6,43,40.5,,,,1696,26.9
2010,98,32.2,33.2,31.6,46,32.1,17.7,1014,16.9
2011,98,21.7,24.1,13.2,53.2,,17.4,406,24.1
2012,98,29.7,35.5,31.3,41,,41.5,1263,21.5
2013,98,58.5,58.7,42.1,63.7,70,47.2,1583,25.7
2014,98,51.89,53.47,40.94,63.93,51.55,35.4,1261.33,24.42
2015,98,35.72,43.37,37.4,72.53,102.78,37.4,1526.08,21.99
2016,98,49.6,56.1,46.3,72,121.8,40.3,1515,39.6
2017,98,39.07,35.36,26.61,56.94,46.78,22.5,1128.32,20.53
2018,98,65,44.5,37.3,,133,46,1582,23.3
2019,98,40.5,48.2,33.9,69.1,52.3,,1261,24.9
2020,98,55.8,57.7,44.3,82.7,83.1,39.2,1675,30
2021,98,43.5,44,30.3,33.2,83.5,20.1,1285,11.3
2022,98,49.7,67.6,49,63.1,119.4,38.8,955.9,28
2023,98,41.3,47.1,32.1,76.7,60.8,25.7,1598.8,16.4
2024,98,39.7,41.9,23.4,31.9,69.7,18.5,1303,5
2025,98,62.7,73,53.8,73.4,92.6,51.7,2249,40.2
1990,99,37.7,37.6,,45,58.4,,,25
1991,99,25.8,29,,40,33.2,,,17
1992,99,37.9,39.5,,69.2,42.5,,1500,16.5
1993,99,30.7,30.9,,56.3,80.7,39.7,956,20
1994,99,25.8,28.8,19.2,44.7,40,23,980,21.6
1995,99,25.7,33,15.9,45.8,34.5,16.2,1264,18.5
1996,99,32.6,34.5,22.5,44.6,48.7,25.6,1586,18.6
1997,99,22.7,24.1,10.8,43.4,40.2,19.8,1034.2,18.7
1998,99,21.1,24.5,17.4,33,51.3,34.5,1230.7,19.6
1999,99,21.5,20,16.3,34.1,55.5,17.5,1036.6,17.9
2000,99,19.8,23.7,18.4,34.6,52,34.2,990.2,16.3
2001,99,22.9,26,18.9,41.5,71,24.9,988,14.9
2002,99,24.8,26.1,15,34.9,54.8,22.5,898,15.5
2003,99,15.2,17.9,3,25.1,26.7,9.9,624,9.6
2004,99,25.1,25.2,16.4,42.6,43.7,39.7,912,12.2
2005,99,28.9,34.7,26.5,44.4,67.1,30.1,1167,23.8
2006,99,25,27.9,17.5,39,47.3,27.9,1213,19.5
2007,99,23.3,27,18.9,44.2,53.9,29.8,1260,14.9
2008,99,21.7,25.3,20,37.3,40.5,29.6,1167,16.3
2009,99,28.3,41.2,39.9,44.1,60.9,30.1,1592,21.5
2010,99,21.7,35.5,35.7,37.9,51.8,23.4,1105,18
2011,99,12.5,27.2,21.3,11.5,35.9,9.2,419,15
2012,99,37.8,34.1,32.6,32,,28.9,1642,32.1
2013,99,23.3,47,41.9,51.1,72.2,35.2,1579,27.2
2014,99,32.2,49.57,45.08,31.91,83.84,24.3,1374.82,18.38
2015,99,13.4,35.84,40.25,14.3,30.78,20.2,1365.53,14.89
2016,99,,55.3,48.4,32.4,32.4,24.8,1562,33.9
2017,99,19.22,29.78,27.03,15.46,,17.3,957.64,15.57
2018,99,26,32.1,39,20.4,,20.1,964,24
2019,99,32.4,43.3,36.4,67.1,46.7,28.4,1294,18.9
2020,99,37.7,52,45.8,72.7,,35.7,1887,25.1
2021,99,18.3,33.6,26.4,36.1,17.1,14.6,939,13.6
2022,99,26.7,57.9,47.1,46.5,66.7,22.4,1092.5,18.9
2023,99,,39,31.9,29.4,54.7,20.5,1467.9,
2024,99,22.8,44.8,31.3,43.8,,13.8,1309,
2025,99,28.7,57.4,47.8,33.5,,30.4,2543,24.7
1990,100,38.2,42.8,,56.3,60,,,27
1991,100,32.6,33.6,,46.9,50,,,16
1992,100,33,33.1,,60,36.8,16.7,500,15
1993,100,29.6,34.6,32,44.4,61.9,34.7,1000,20
1994,100,22.5,29.3,20,32.4,32,37.4,256,17.2
1995,100,25,25.7,25.7,47.3,47.6,27.7,1308,22.8
1996,100,34.6,35.2,23.9,52.1,55.4,36.5,1788,
1997,100,23.7,28.6,15.5,44.4,44.4,23.3,1036.3,
1998,100,21.4,27.8,18.5,25.5,52.7,22.9,1093.7,18.6
1999,100,27.1,34.9,21.5,39,57.3,24,1534.7,20.6
2000,100,21.6,31.5,21.9,39.7,36.1,28.9,1091.6,13.6
2001,100,22.4,23.5,18.9,37.5,31.1,21.8,865,17.4
2002,100,20.5,24.1,12.1,31,36.8,14.9,1014,18.1
2003,100,14.7,19.4,6.5,21.2,16,17,494,8.6
2004,100,26.6,31.3,25.7,36.2,55.9,31.5,1574,21.8
2005,100,28.7,38.3,28.3,43.9,34.3,31.3,1143,17.1
2006,100,23.4,32.7,22.8,31.6,33.6,31.5,1260,15.8
2007,100,20.4,22.6,19,26.7,29.9,22.2,1100,13.1
2008,100,23.3,26.5,23.4,34.1,,30.1,1529,11.3
2009,100,,33.6,,,,30.1,1480,17.7
2010,100,30.5,35,26.8,42,50.1,29.4,1438,21.5
2011,100,23.4,28.2,26.4,38.7,,18.5,930,17.9
2012,100,26,36.1,32,34.4,,32,1246,17.5
2013,100,29.9,49.3,42.7,42.9,94.3,32.9,1477,23
2014,100,21.71,38.07,35.07,25.58,72.75,27.5,1116.17,20.87
2015,100,16.97,21.85,24.95,33.65,30.4,20.7,1263.29,22.93
2016,100,31.3,44.2,44.3,52.4,73.5,35.1,1044,34
2017,100,35.55,29.85,29.08,48.06,,20.6,1270.15,13.65
2018,100,25,29.8,33.5,44,24,25,1160,12
2019,100,36.3,50,42.1,66.7,80.9,29.4,941,32.5
2020,100,43.8,54.5,41.2,60.5,,34.1,1426,31
2021,100,32.8,34.2,28.5,48.9,50,21.6,1331,22.2
2022,100,70,55.5,46,68.7,73.9,27.9,1325,31.7
2023,100,52.9,42.8,31.1,56.6,60,27,1091.3,24.1
2024,100,52.3,46,34.9,66.9,100,28,1227,20.8
2025,100,46,47.9,42.7,56.1,90,39.7,1921,24.6
1990,101,33.3,32.6,,44.6,60,,,22
1991,101,26.7,27.9,,27.8,44.8,,,
1992,101,28.9,30,,36.3,42,,,15
1993,101,26.6,28.6,,40,37.9,,,15
1994,101,20,24,,30,31.1,,,
1995,101,26.1,24.7,,32.6,41.5,,,12
1996,101,31.3,30.9,20,41.5,48.5,20,,
1997,101,22,24.6,16.3,28.3,30.7,17.1,550,10
1998,101,22.7,25.2,16.3,30,33.7,32,,18.2
1999,101,30.9,29.8,22,34.5,,31.5,1370.3,19.4
2000,101,24.3,25.9,,23.6,47.9,34.3,1331.3,17.7
2001,101,19.4,19.2,,35,35.4,14.5,751,8.6
2002,101,19.4,21,,29.5,46.2,17,636,9.6
2003,101,18.5,17.1,7,18.4,12.4,19.1,,
2004,101,36.1,32.1,30,36.9,56.8,48.9,,7.3
2005,101,27.2,30.9,,40.9,50.2,32.2,,17.5
2006,101,20.1,24.5,14,30.3,35.6,23,850,17.4
2007,101,17.3,22.5,15.3,18.1,32.6,22.1,628,15
2008,101,19.9,24.4,26.1,30.3,,25,1030,15
2009,101,25.9,35.1,31.5,38,37.3,32.2,1252,17.5
2010,101,28.4,32,26.2,42.6,28.9,24.6,1353,13
2011,101,22.3,29.2,24.2,32.7,50.2,23.9,995,15.5
2012,101,27.1,28.3,23.4,43.9,43.2,25.6,1101,17.9
2013,101,30,41.3,36.7,55.6,41.6,39.8,1406,19
2014,101,25.09,33.77,29.03,41.55,38.72,25.4,993.5,18.34
2015,101,19.54,23.93,23.98,32.76,34.46,20.6,802.27,13.01
2016,101,27.9,52,40.6,50.8,43.9,35.4,1420,22.4
2017,101,15.1,26.2,23.55,20.33,,14.5,1054.69,14.99
2018,101,21,30.7,28.5,31,36,29,1358,
2019,101,26.7,44.2,33.2,31.6,33,31.3,1047,18.5
2020,101,30.7,47.5,28.9,49.9,38.8,17.4,1678,16.2
2021,101,26.8,35.6,24.2,26.8,13.7,30.6,1111,16.1
2022,101,25.6,42.9,34.3,48.6,,33.8,1546.6,24.9
2023,101,,28.3,24.9,15.4,,29.9,1069.3,
2024,101,,34.9,27,42.9,,12.7,1159,
2025,101,,38.1,36.8,38.3,,31.3,1852,29.5
1990,102,36.9,40.4,,47,50,,,25
1991,102,27.7,34.8,,42.5,45,,,
1992,102,33.6,34.3,,26.2,50,,,15
1993,102,30.5,32,,51,61.2,,480,
1994,102,27.5,29.4,,30,30,10,500,20
1995,102,29.1,33.4,,45,45,,1200,16
1996,102,29.8,37.3,,40,48.1,,1200,10.4
1997,102,24.9,24.7,,48.2,40,19.8,912.8,7.5
1998,102,22.9,27.5,20.4,37.4,40.3,32.9,998,15
1999,102,34.9,45,29.4,58.5,52.4,49.5,1710.9,19
2000,102,27.9,37,28.1,55.6,47.1,42,1637,24.8
2001,102,21.9,24.6,23.5,36.7,30,21.3,977,12.6
2002,102,27.7,29.9,16,39.5,42.3,29.1,540,12.5
2003,102,12,18.9,8.2,25,32,16.3,420,9
2004,102,31.6,37.8,35,49,53.6,37,1150,17.6
2005,102,27.4,27.9,28,41.2,25.6,29.7,1056,18.9
2006,102,26.2,28.3,15.7,43.9,36.5,21.8,870,20.3
2007,102,22.5,25.8,19.1,36.8,31.7,27.9,902,13.1
2008,102,27,29.4,20.8,44.3,38,28.5,925,19.5
2009,102,30.2,37.5,32.5,48.6,,33.8,1847,28.3
2010,102,32.7,36.9,34.3,54.5,48,25.2,1478,23.9
2011,102,28.5,42.2,34.1,44.3,50,22.7,1251,24.7
2012,102,27.1,41.2,32.3,44.7,,26.3,1414,24.9
2013,102,61.5,51.8,45.7,66.5,52,34.6,1598,32.7
2014,102,30.76,38.82,42.17,74.96,67.11,30.3,1221.95,20.81
2015,102,32.9,34.46,39.37,47.92,,29.1,1140.25,24.27
2016,102,22.6,45.4,48.4,75.8,70,36.9,1269,25.1
2017,102,15.07,29.32,21.89,,,14.8,1235.2,11.4
2018,102,25,36,35,65,,27,963,20
2019,102,50.2,50,37.6,69.9,,29.1,1102,27
2020,102,30.9,52.1,35.7,65.8,,30.9,1722,20.6
2021,102,35.3,30.5,23.2,42.5,,25,1446,14
2022,102,45.7,39.6,32.2,63.1,,29.4,1420.8,18.3
2023,102,29.2,23.7,20.9,44.8,,29.7,865.1,
2024,102,,30,19.7,67,,18.5,924,
2025,102,34.9,36.3,29.3,43.7,,27.8,1956,26.9
1990,103,35.9,39.3,,54.3,60,,,25
1991,103,32,34.8,,45.5,50,,,12
1992,103,30.7,26.2,,50.5,80,,,15
1993,103,31.1,37.2,,61.2,77,,,25
1994,103,25.4,30.6,22.2,30.9,45,,606,20
1995,103,25.2,25.6,22.2,41.8,55,,1002,23
1996,103,33.9,31.2,,33.5,38.3,14,1314,
1997,103,22.5,22.2,14,25,60,17.3,679.4,18
1998,103,22.7,26.3,20,31.8,46.8,28.9,850,15
1999,103,30.8,39.5,25.5,57.2,61.4,41.8,1827.6,30
2000,103,24.8,31.4,20,41.4,47.5,32.5,1374.4,12
2001,103,23.2,24,25,50.6,,22.1,1491,
2002,103,24.7,30.3,18,49.3,,23.3,1066,
2003,103,16.6,18.8,11.1,24.2,20,16.9,651,9.2
2004,103,35.2,36.5,27.5,51.9,49.8,48.8,1209,21.4
2005,103,30.4,36.4,20.7,55.4,,35.1,1107,19.6
2006,103,29.1,31.9,22.4,42.7,52.3,28.4,1387,18.6
2007,103,26.9,25.8,18.7,40.5,49,24.4,877,
2008,103,29.9,34,28.2,40.2,,33,1281,14
2009,103,33.9,35.7,28.2,44.1,,33.2,1604,
2010,103,34.4,36.4,32.3,41.8,53.3,29.2,1472,28.1
2011,103,32.7,36.6,30.2,46.8,58.3,30.8,1329,19.4
2012,103,19.9,36.3,28.4,41.7,46.9,29.3,1520,22
2013,103,36.1,55.5,40.5,58.9,40.8,40.1,1719,30.3
2014,103,39.49,47.25,41.15,62.07,,34.7,1709.33,25.86
2015,103,27.11,39.46,38.11,32.66,43.51,28,1388.6,16.97
2016,103,44.9,53.6,44.4,53.3,,34.8,959,28
2017,103,21.53,36.7,29.58,30.97,,20.1,1287.86,
2018,103,35,36.7,29.6,48,,21.5,1196,
2019,103,44.7,39.8,30,54.4,,30.5,1099,20.4
2020,103,42.8,48.2,35.6,55.2,35.9,20,1615,20
2021,103,19.1,16.2,18.2,10.2,,19.7,983,10
2022,103,32.5,29,22.2,30.1,61.1,22.6,1087.3,14.6
2023,103,,18.4,16.7,22.5,,22.6,1049.9,
2024,103,26.5,21.2,17.5,45.9,,20.8,610,7.1
2025,103,50.5,39.5,42.2,48.8,,44.6,1769,27.9
1990,104,34.6,33.8,,48.1,72.5,,,22.5
1991,104,30,34.1,,32.3,45,,,
1992,104,26.7,32.7,,35,28.7,,1020,16
1993,104,30.7,34.5,23,65.8,100,,1303,23
1994,104,28.5,30.4,20,38.7,80,,1114,22
1995,104,21.4,25,16.1,33.2,50,25,1500,20
1996,104,28.8,26.3,20.5,40,44.7,23.8,1270,22
1997,104,25.4,25.2,13.3,42.1,47.4,21.9,737.8,21
1998,104,21.8,22,15.3,36.5,42.6,27.3,1101.5,17
1999,104,32.6,36.5,27,56.2,81.3,40.7,1507.7,
2000,104,29.6,33.8,22.2,37.4,,41.1,1544.9,
2001,104,22.1,22.2,16.6,35.3,,16.6,1214,
2002,104,24.3,24.5,18.6,32.1,27.9,20.4,1020,
2003,104,19.6,25,9.6,22.5,,17.3,1048,11.6
2004,104,33.2,36.5,35.2,51.2,,50.8,1649,
2005,104,27.8,30.8,18.5,45.4,,28.3,1269,21.8
2006,104,21.7,24.7,16.1,34.2,43.5,21.9,890,15.6
2007,104,22.7,21.2,14,28.3,30.3,21.6,919,14.2
2008,104,24.4,25.3,,35,50.3,24.2,1110,13.3
2009,104,28.5,31,,44.8,,29.6,1436,
2010,104,32.7,33.5,50.8,41.1,40.3,36.5,1628,27.3
2011,104,30.1,38.2,31.9,33.3,,28.6,1329,25.4
2012,104,30.4,31.1,26.2,36.9,,32.2,1495,21.9
2013,104,36.2,44.9,37,42.5,42,40.6,2171,32.5
2014,104,34.7,37.4,29.69,40.17,,34,1715.53,22.46
2015,104,27.6,37.32,37.41,40.68,29.98,27.7,1596.37,25.55
2016,104,28,49.6,44.3,43.6,50,35.2,1087,17.4
2017,104,32.66,40.17,33.1,15.71,,25.8,1499.72,17.42
2018,104,34,40.2,35.8,40,,25.8,1483,16
2019,104,39.3,44.2,35.1,44.9,62.5,29.6,1349,19.6
2020,104,34.1,41.2,31.5,43.2,,29.8,1508,14.2
2021,104,9.4,7.7,8.5,8.7,,7.5,425,3.4
2022,104,22.2,22,15,25.6,,16.2,801.1,10
2023,104,40.6,24.4,22.7,28.9,,20,994.6,10.2
2024,104,20.9,21.8,14.9,41.7,,10.9,618,7.6
2025,104,39.8,30,37.7,59.9,,35.2,1648,28.3
1990,105,35.2,32.5,,51.6,58,,,22.5
1991,105,31.8,30.9,,40,55,,,
1992,105,20,17.7,,57,49,,1000,25
1993,105,28.6,27.9,20,53.4,59.9,,950,20
1994,105,24.8,26.9,25,45,45,,,20
1995,105,22.5,25.4,18.3,31.6,65,11.7,600,16
1996,105,29.2,27,18.1,40.5,50,10,710,15
1997,105,29.2,29,23.9,40.8,41.9,25,1000,20
1998,105,23,25.6,18.5,36.7,42,24.5,1111.6,17.9
1999,105,31,33.1,20,51.9,62,44.7,1389.9,
2000,105,30.3,34,24.8,45,52.9,43.5,1256.5,20.5
2001,105,20,21.6,14.9,29,44.9,12.3,968,15
2002,105,22.6,26.9,11.3,35.1,51.8,28.2,799,
2003,105,24,20.7,8.5,22.4,22.5,16.9,607,10.9
2004,105,29.6,32.7,24.6,46.1,52.7,40.5,1412,20
2005,105,28.8,29,18.1,35.1,35,26.9,890,17.4
2006,105,25.5,25.5,21.6,35.1,45.5,24.2,1088,15.7
2007,105,21.7,18.7,14.6,26.3,,19.1,526,14.5
2008,105,16.7,19,10,33.1,30,16,641,12.5
2009,105,30.1,28,24,41.5,40,26.7,1043,18.4
2010,105,38.7,33.5,31.5,49.7,40.2,35.9,1463,20.8
2011,105,29.5,34.4,26.8,36.5,55,26.9,1523,19
2012,105,28.6,31,24.5,41.1,50,29.1,1403,20.1
2013,105,34.4,40.8,34.4,46.9,60,40.2,1701,22.7
2014,105,27.93,34.26,28.54,40.14,60,30,1331.04,21.99
2015,105,32,37.22,37.35,46.17,89.94,38.3,1474.18,24.8
2016,105,30.3,44.3,39.9,63.7,,33.3,929,26.6
2017,105,34.59,38.89,26.3,44.27,50,25.4,1342.6,17.24
2018,105,26.5,30.6,27.6,42.5,30,23.9,1048,18.5
2019,105,39,43.5,35.5,56.4,,29.7,1391,20
2020,105,35.9,41.4,34.6,64.3,,44.9,1411,19.1
2021,105,11.1,7.2,7,12.1,,7.6,377,5.8
2022,105,26.8,24.4,16.8,35.2,54.8,19.8,832.5,11.7
2023,105,21.8,18.7,18.6,30.5,,12.3,642.8,9.9
2024,105,30,24.7,16.6,36.8,,,817,
2025,105,32.5,34.6,42,54.4,,27.8,1606,
1990,106,29.2,31.2,,42.5,37,,,15
1991,106,28.8,33.5,28,36,50,,,15
1992,106,24.8,24.3,,43.1,40.9,15,615,10
1993,106,31,30.2,,54.6,60,18.4,726,30
1994,106,24.4,27.5,15,35,40,20,1147,14.8
1995,106,19.6,23.3,16.3,31.1,45,15,769,10
1996,106,30.5,28.6,27,35.1,32.7,,1800,
1997,106,32.5,30.6,18.2,46.1,,16.5,1233.3,8
1998,106,21.2,25.5,17.7,32.8,30,9,474,15.6
1999,106,34,33.3,16.2,51.4,65.9,28.9,1158.6,
2000,106,30.9,32.3,22.8,53.6,59.6,23.8,1135.9,24.3
2001,106,25.3,25.3,26.2,36.4,,12.7,887,18.6
2002,106,26.5,26.2,27.5,37,56.8,22.2,684,12.9
2003,106,21.3,24.3,10.1,40.3,,20.8,847,7.4
2004,106,34.3,36.8,31.4,51.5,,50.2,1457,
2005,106,30.1,30.6,16.1,44.7,,30.1,1116,
2006,106,19.8,18.2,13.4,23.9,,15.8,485,
2007,106,17.7,18.9,15,25.8,,16.6,573,
2008,106,23.5,21.8,,32.2,,16.4,790,
2009,106,22.3,23.6,22,30.9,,15,810,17
2010,106,32.4,32.6,34,49.8,65.4,19,1411,23.6
2011,106,32,36.7,20.7,48.1,,34.9,1407,21.2
2012,106,26.6,32.3,29.2,54.7,,30.5,1153,23
2013,106,42.6,43.6,32.3,61.1,70.9,40.2,1722,28.8
2014,106,27.76,32.39,28.97,54.64,24.32,28.9,1146.61,17.92
2015,106,34.93,35.46,29.79,43.25,,26.3,1568.6,22.37
2016,106,38.7,49,29.1,62.8,35.8,26.5,841,21.9
2017,106,24.72,31.68,27.45,32,,25.3,1256.4,21.25
2018,106,25.5,27.9,23.7,39.5,37,25.3,1090,15.7
2019,106,36.6,36.5,32.5,58.5,55,30,1314,20.8
2020,106,34.4,34.8,24.7,57.8,,40.1,1468,20.5
2021,106,16.2,9,7.5,12.7,,9.2,627,6.1
2022,106,25.5,25.2,19.4,40.1,60,20.8,821.3,16.2
2023,106,19,18,17,26,,17.7,660.7,11.5
2024,106,24.1,24.1,15.6,34.8,44.5,19.4,853,13.2
2025,106,34.6,33.3,41.9,27.8,,30.9,1374,34.6
1990,107,31.5,28.8,,43.6,53.3,,,20
1991,107,30.1,31.8,22,28.9,47.8,,,
1992,107,20,29,25,46,45,,,11
1993,107,29,30.1,,51.5,83.5,,,
1994,107,26.3,29.5,,44.8,80,,790,15
1995,107,27.4,36.1,,50.5,55.5,,417,
1996,107,29.5,29.5,,42.5,65.8,,905,
1997,107,28.7,26.9,21.9,37.7,38.4,,1259.2,
1998,107,28.5,31.7,21.7,48.7,52.5,16.3,856,
1999,107,32.5,34.6,14.7,52,66.9,29.7,1313.5,
2000,107,32.2,35.9,31.4,46.8,70.2,41.3,1418.4,
2001,107,20.8,24.7,10,38.6,,16.9,767,
2002,107,22,26.9,,45.3,30,29.1,1143,
2003,107,24.1,28.7,13.3,40.4,24.7,27.8,1026,
2004,107,28.2,43.5,48.3,65.8,51,51.8,1755,13.3
2005,107,30.3,38.2,,54.1,,36.3,1443,
2006,107,25.6,28.9,17.6,43.3,,23.5,1210,
2007,107,21.9,24.8,12.6,42.8,38.4,25.2,881,
2008,107,28.4,32.3,,47.3,,30.7,1120,
2009,107,31.6,34.6,,58.3,,25,1298,19.1
2010,107,29.5,40.8,35.6,46.4,80.8,23.5,1675,21.5
2011,107,35.3,43.1,28.9,48.9,65,34.7,1722,24.2
2012,107,28.9,34.3,29.8,57.2,,34.3,1380,
2013,107,38,51.3,41.1,83.3,89.5,40.7,1569,22.9
2014,107,37.72,37.64,26.19,55.77,57.51,37.7,1332.54,26.55
2015,107,34.91,39.7,36.44,47.18,47.23,21.8,1402.97,27.17
2016,107,31.9,53,45,63.6,26.7,32.9,926,26.8
2017,107,28.09,35.33,30.03,58.26,,30.6,1140.79,14.31
2018,107,22,30.7,28.4,26,30,28.8,1043,6
2019,107,57.5,55.9,43.3,72.1,54.3,36.1,1310,28.7
2020,107,42.6,39.9,32.9,67.2,,39.5,1440,26.2
2021,107,12.5,10.3,9.8,12.9,,12.1,514,6
2022,107,35.1,31.4,23.2,48.6,,28.9,894.7,22.4
2023,107,16.6,16.8,15.3,25.6,,18.2,624.3,7.5
2024,107,28.7,26.8,19,46.7,,24.3,788,12.8
2025,107,40.1,38.3,46.9,63.8,,34.7,1905,29.2
1990,108,31.2,29.9,,47.3,69.3,,,16
1991,108,32.9,36.7,,46,46.7,,,
1992,108,26.1,32.9,,40.2,66.5,,,12
1993,108,40,36.4,24,61.1,81.9,,780,26
1994,108,28.3,30.9,17.6,48.1,59.5,,561,17
1995,108,32.7,39.7,21.5,43.4,55.3,25,1366,20
1996,108,29.5,31.4,20.6,51.3,45,39.5,1120,20
1997,108,32,32.2,20.8,52.9,80,41.6,1071.2,20
1998,108,31.6,33.9,20.1,48.7,61.5,36.1,834.7,19.1
1999,108,34.2,34.3,23.2,45.8,59.3,33.7,917,24.2
2000,108,35,34.6,25.8,46,,39.4,1210.4,24.4
2001,108,18.7,20.9,9.3,30.4,30.7,11.8,787,21.1
2002,108,26.4,26.7,20.5,41.2,67,30.9,667,
2003,108,28.8,27.4,12.7,34.4,41.9,26.2,798,15
2004,108,36.8,41,27.2,62.6,47.4,39.9,1657,32.6
2005,108,40.1,41,24.1,53.3,46.4,36.8,1461,19.1
2006,108,23.9,23,18.1,31,40.6,19.7,426,10
2007,108,23.4,22.4,16,34,38.4,21.2,697,
2008,108,33.4,31,27.2,51.6,,27.4,1189,
2009,108,33.5,33.4,37.5,52.2,,27.9,1401,
2010,108,32.8,33.5,26.3,45.3,86,25.3,1425,12.4
2011,108,33,36.1,24.3,49.5,,31,1176,23.6
2012,108,34.2,38,27.9,51.4,,31,1644,
2013,108,38.6,42,35.3,56,,42.1,1568,30
2014,108,33.6,39.37,36.28,46.33,90,36.4,1609.79,24.95
2015,108,40.85,42.84,33.56,64.24,36.02,28.4,1417.84,27.34
2016,108,38.2,50.6,44.7,57.5,65,30.5,1236,31
2017,108,21.95,28.3,22.6,44.16,,24.5,1016.85,13.33
2018,108,29,34.1,26.5,52,,21.8,1108,
2019,108,46.7,55.2,40.1,74.5,,41.2,1597,15.5
2020,108,29.3,31.7,22.6,46.2,,31.9,1225,16.5
2021,108,13.5,16.8,15.2,19.5,,18.5,977,8.7
2022,108,33.9,32.6,20.8,38.1,20.2,24.1,822.7,13.3
2023,108,14.1,13.9,11.4,17.2,,14.8,613.4,6.4
2024,108,35,27.6,15.5,39.3,35.8,26.9,1014,
2025,108,41.8,34.8,43.9,71.8,,26.3,1816,34.1
1990,109,28.9,31.2,18,50,70,,,18
1991,109,38.4,43.2,33.2,64.5,74.3,,,
1992,109,28,25.1,,56.8,80,,,13
1993,109,34.5,34.3,30,57.3,81.2,33.1,996,25
