Year,RM,Crop,Yield,Unit
1993,134,Canola,25,bu/ac
1995,134,Canola,12,bu/ac
1996,134,Canola,14.1,bu/ac
1997,134,Canola,23.8,bu/ac
1998,134,Canola,17.2,bu/ac
1999,134,Canola,31.2,bu/ac
2000,134,Canola,20.3,bu/ac
2001,134,Canola,14.7,bu/ac
2002,134,Canola,18.7,bu/ac
2003,134,Canola,11.9,bu/ac
2004,134,Canola,39.4,bu/ac
2005,134,Canola,20.9,bu/ac
2006,134,Canola,25.5,bu/ac
2007,134,Canola,19.3,bu/ac
2008,134,Canola,24.6,bu/ac
2009,134,Canola,27.1,bu/ac
2010,134,Canola,30.5,bu/ac
2011,134,Canola,31.7,bu/ac
2012,134,Canola,24.5,bu/ac
2013,134,Canola,36.3,bu/ac
2014,134,Canola,32.51,bu/ac
2015,134,Canola,30.86,bu/ac
2016,134,Canola,39.1,bu/ac
2017,134,Canola,22.4,bu/ac
2018,134,Canola,25.7,bu/ac
2019,134,Canola,30.1,bu/ac
2020,134,Canola,34.8,bu/ac
2021,134,Canola,10.3,bu/ac
2022,134,Canola,21.3,bu/ac
2023,134,Canola,22.4,bu/ac
2024,134,Canola,14.5,bu/ac
2025,134,Canola,39.8,bu/ac
1992,135,Canola,13,bu/ac
1993,135,Canola,15,bu/ac
1994,135,Canola,17.5,bu/ac
1995,135,Canola,11.8,bu/ac
1996,135,Canola,12.7,bu/ac
1997,135,Canola,12.6,bu/ac
1998,135,Canola,15.8,bu/ac
1999,135,Canola,27.1,bu/ac
2000,135,Canola,25.2,bu/ac
2001,135,Canola,18.2,bu/ac
2002,135,Canola,22.1,bu/ac
2003,135,Canola,11.2,bu/ac
2004,135,Canola,29.6,bu/ac
2005,135,Canola,25.7,bu/ac
2007,135,Canola,11.3,bu/ac
2008,135,Canola,20.9,bu/ac
2009,135,Canola,22,bu/ac
2010,135,Canola,30.4,bu/ac
2011,135,Canola,34.3,bu/ac
2012,135,Canola,25.7,bu/ac
2013,135,Canola,43.3,bu/ac
2014,135,Canola,30.62,bu/ac
2015,135,Canola,27.43,bu/ac
2016,135,Canola,45.4,bu/ac
2017,135,Canola,29.61,bu/ac
2018,135,Canola,25,bu/ac
2019,135,Canola,33.8,bu/ac
2020,135,Canola,40.7,bu/ac
2021,135,Canola,12.4,bu/ac
2022,135,Canola,29.1,bu/ac
2023,135,Canola,22.6,bu/ac
2024,135,Canola,17.4,bu/ac
2025,135,Canola,41.2,bu/ac
1993,136,Canola,45,bu/ac
1994,136,Canola,23.1,bu/ac
1995,136,Canola,16.5,bu/ac
1996,136,Canola,18.8,bu/ac
1997,136,Canola,13.8,bu/ac
1998,136,Canola,18.2,bu/ac
1999,136,Canola,24.9,bu/ac
2000,136,Canola,24.4,bu/ac
2001,136,Canola,18.4,bu/ac
2002,136,Canola,12.5,bu/ac
2003,136,Canola,18.6,bu/ac
2004,136,Canola,26,bu/ac
2005,136,Canola,16.4,bu/ac
2006,136,Canola,12.2,bu/ac
2007,136,Canola,10,bu/ac
2010,136,Canola,30.4,bu/ac
2011,136,Canola,27.6,bu/ac
2012,136,Canola,25,bu/ac
2013,136,Canola,33.6,bu/ac
2014,136,Canola,35.17,bu/ac
2015,136,Canola,32.37,bu/ac
2016,136,Canola,41.8,bu/ac
2017,136,Canola,28.23,bu/ac
2018,136,Canola,27,bu/ac
2019,136,Canola,37.5,bu/ac
2020,136,Canola,39.8,bu/ac
2021,136,Canola,14.9,bu/ac
2022,136,Canola,25.8,bu/ac
2023,136,Canola,20.2,bu/ac
2024,136,Canola,15.7,bu/ac
2025,136,Canola,37,bu/ac
1990,137,Canola,15,bu/ac
1992,137,Canola,15,bu/ac
1993,137,Canola,25,bu/ac
1994,137,Canola,19,bu/ac
1995,137,Canola,20.6,bu/ac
1996,137,Canola,27.4,bu/ac
1997,137,Canola,21.3,bu/ac
1998,137,Canola,21.9,bu/ac
1999,137,Canola,27.4,bu/ac
2000,137,Canola,27,bu/ac
2001,137,Canola,12.2,bu/ac
2002,137,Canola,25.1,bu/ac
2003,137,Canola,13.7,bu/ac
2004,137,Canola,31.1,bu/ac
2005,137,Canola,18.8,bu/ac
2006,137,Canola,20.6,bu/ac
2007,137,Canola,9.7,bu/ac
2008,137,Canola,35.3,bu/ac
2010,137,Canola,36.4,bu/ac
2011,137,Canola,36.6,bu/ac
2012,137,Canola,29,bu/ac
2013,137,Canola,40.4,bu/ac
2014,137,Canola,40.4,bu/ac
2015,137,Canola,39.42,bu/ac
2016,137,Canola,53.3,bu/ac
2017,137,Canola,30.31,bu/ac
2018,137,Canola,27,bu/ac
2019,137,Canola,44,bu/ac
2020,137,Canola,40.3,bu/ac
2021,137,Canola,15.9,bu/ac
2022,137,Canola,30.5,bu/ac
2023,137,Canola,19.7,bu/ac
2024,137,Canola,17.7,bu/ac
2025,137,Canola,44.1,bu/ac
1993,138,Canola,30,bu/ac
1994,138,Canola,23,bu/ac
1995,138,Canola,19.8,bu/ac
1996,138,Canola,29.4,bu/ac
1997,138,Canola,22.4,bu/ac
1998,138,Canola,26.2,bu/ac
1999,138,Canola,30.9,bu/ac
2000,138,Canola,25.6,bu/ac
2001,138,Canola,17,bu/ac
2002,138,Canola,18.5,bu/ac
2003,138,Canola,24.4,bu/ac
2004,138,Canola,38.7,bu/ac
2005,138,Canola,30.1,bu/ac
2006,138,Canola,20.4,bu/ac
2007,138,Canola,14.8,bu/ac
2008,138,Canola,30,bu/ac
2010,138,Canola,27.9,bu/ac
2011,138,Canola,31.2,bu/ac
2012,138,Canola,29.9,bu/ac
2013,138,Canola,43.2,bu/ac
2014,138,Canola,45.38,bu/ac
2015,138,Canola,39.63,bu/ac
2016,138,Canola,47.4,bu/ac
2017,138,Canola,28.5,bu/ac
2018,138,Canola,28.5,bu/ac
2019,138,Canola,45,bu/ac
2020,138,Canola,34,bu/ac
2021,138,Canola,18.2,bu/ac
2022,138,Canola,25.1,bu/ac
2023,138,Canola,18.2,bu/ac
2024,138,Canola,23.5,bu/ac
2025,138,Canola,43.5,bu/ac
1993,139,Canola,30,bu/ac
1994,139,Canola,27.8,bu/ac
1995,139,Canola,25,bu/ac
1996,139,Canola,21.2,bu/ac
1997,139,Canola,15.8,bu/ac
1998,139,Canola,23.5,bu/ac
1999,139,Canola,20.2,bu/ac
2000,139,Canola,28.5,bu/ac
2001,139,Canola,7,bu/ac
2003,139,Canola,17.6,bu/ac
2004,139,Canola,36.7,bu/ac
2007,139,Canola,18,bu/ac
2009,139,Canola,20,bu/ac
2010,139,Canola,26.3,bu/ac
2011,139,Canola,31.4,bu/ac
2012,139,Canola,29.6,bu/ac
2013,139,Canola,34.8,bu/ac
2014,139,Canola,34.1,bu/ac
2015,139,Canola,30.71,bu/ac
2016,139,Canola,44.2,bu/ac
2017,139,Canola,26.02,bu/ac
2018,139,Canola,26,bu/ac
2019,139,Canola,31.1,bu/ac
2020,139,Canola,28.4,bu/ac
2021,139,Canola,12.7,bu/ac
2022,139,Canola,9.8,bu/ac
2023,139,Canola,6.9,bu/ac
2024,139,Canola,15.9,bu/ac
2025,139,Canola,23.8,bu/ac
1994,141,Canola,22,bu/ac
1995,141,Canola,20,bu/ac
2010,141,Canola,50,bu/ac
2011,141,Canola,40.1,bu/ac
2012,141,Canola,35,bu/ac
2013,141,Canola,47.9,bu/ac
2014,141,Canola,32.56,bu/ac
2015,141,Canola,32.85,bu/ac
2016,141,Canola,52.9,bu/ac
2017,141,Canola,22.02,bu/ac
2021,141,Canola,5.8,bu/ac
2022,141,Canola,7.5,bu/ac
2023,141,Canola,3.4,bu/ac
2024,141,Canola,2.1,bu/ac
1995,142,Canola,27.5,bu/ac
1997,142,Canola,19,bu/ac
1998,142,Canola,18.9,bu/ac
1999,142,Canola,27.5,bu/ac
2000,142,Canola,16,bu/ac
2003,142,Canola,8.2,bu/ac
2004,142,Canola,27.5,bu/ac
2006,142,Canola,15.5,bu/ac
2010,142,Canola,30,bu/ac
2011,142,Canola,24.2,bu/ac
2012,142,Canola,33.2,bu/ac
2013,142,Canola,30.2,bu/ac
2014,142,Canola,33.12,bu/ac
2015,142,Canola,25.7,bu/ac
2016,142,Canola,42.1,bu/ac
2017,142,Canola,17.71,bu/ac
2018,142,Canola,20.4,bu/ac
2019,142,Canola,14.9,bu/ac
2020,142,Canola,14.6,bu/ac
2021,142,Canola,9.8,bu/ac
2022,142,Canola,19.9,bu/ac
2023,142,Canola,4.8,bu/ac
2024,142,Canola,12.5,bu/ac
2025,142,Canola,15.3,bu/ac
1990,151,Canola,23,bu/ac
1991,151,Canola,26.2,bu/ac
1992,151,Canola,26.4,bu/ac
1993,151,Canola,24.7,bu/ac
1994,151,Canola,17.5,bu/ac
1995,151,Canola,15,bu/ac
1996,151,Canola,25.7,bu/ac
1997,151,Canola,22.6,bu/ac
1998,151,Canola,21.3,bu/ac
1999,151,Canola,21,bu/ac
2000,151,Canola,24.4,bu/ac
2001,151,Canola,26.1,bu/ac
2002,151,Canola,25.6,bu/ac
2003,151,Canola,14.9,bu/ac
2004,151,Canola,19.1,bu/ac
2005,151,Canola,27.8,bu/ac
2006,151,Canola,26.8,bu/ac
2007,151,Canola,21.2,bu/ac
2008,151,Canola,31.9,bu/ac
2009,151,Canola,32,bu/ac
2010,151,Canola,22.9,bu/ac
2011,151,Canola,15.3,bu/ac
2012,151,Canola,21.3,bu/ac
2013,151,Canola,40.2,bu/ac
2014,151,Canola,28.71,bu/ac
2015,151,Canola,39.18,bu/ac
2016,151,Canola,38.3,bu/ac
2017,151,Canola,39.56,bu/ac
2018,151,Canola,42.6,bu/ac
2019,151,Canola,46.2,bu/ac
2020,151,Canola,42.8,bu/ac
2021,151,Canola,30.6,bu/ac
2022,151,Canola,41.2,bu/ac
2023,151,Canola,41.9,bu/ac
2024,151,Canola,44.6,bu/ac
2025,151,Canola,51.9,bu/ac
1990,152,Canola,25.4,bu/ac
1991,152,Canola,26.1,bu/ac
1992,152,Canola,19.6,bu/ac
1993,152,Canola,21,bu/ac
1994,152,Canola,19.7,bu/ac
1995,152,Canola,12.9,bu/ac
1996,152,Canola,29,bu/ac
1997,152,Canola,22.2,bu/ac
1998,152,Canola,23.9,bu/ac
1999,152,Canola,21.1,bu/ac
2000,152,Canola,24.9,bu/ac
2001,152,Canola,18.6,bu/ac
2002,152,Canola,24.6,bu/ac
2003,152,Canola,18.5,bu/ac
2004,152,Canola,18.3,bu/ac
2005,152,Canola,22.3,bu/ac
2006,152,Canola,22.7,bu/ac
2007,152,Canola,24.4,bu/ac
2008,152,Canola,36,bu/ac
2009,152,Canola,42.4,bu/ac
2010,152,Canola,26.1,bu/ac
2011,152,Canola,17.3,bu/ac
2012,152,Canola,20,bu/ac
2013,152,Canola,41.3,bu/ac
2014,152,Canola,29.49,bu/ac
2015,152,Canola,43.27,bu/ac
2016,152,Canola,38.7,bu/ac
2017,152,Canola,37.45,bu/ac
2018,152,Canola,40.6,bu/ac
2019,152,Canola,45.2,bu/ac
2020,152,Canola,41.8,bu/ac
2021,152,Canola,28.1,bu/ac
2022,152,Canola,36.1,bu/ac
2023,152,Canola,40.3,bu/ac
2024,152,Canola,34.2,bu/ac
2025,152,Canola,42.9,bu/ac
1990,153,Canola,22,bu/ac
1991,153,Canola,30,bu/ac
1992,153,Canola,18.5,bu/ac
1993,153,Canola,22.9,bu/ac
1994,153,Canola,12.4,bu/ac
1995,153,Canola,13.5,bu/ac
1996,153,Canola,23.4,bu/ac
1997,153,Canola,18.7,bu/ac
1998,153,Canola,19.8,bu/ac
1999,153,Canola,19.7,bu/ac
2000,153,Canola,18,bu/ac
2001,153,Canola,20.5,bu/ac
2002,153,Canola,20.7,bu/ac
2003,153,Canola,15.1,bu/ac
2004,153,Canola,14.7,bu/ac
2005,153,Canola,23.6,bu/ac
2006,153,Canola,30.2,bu/ac
2007,153,Canola,18,bu/ac
2008,153,Canola,30,bu/ac
2009,153,Canola,36,bu/ac
2010,153,Canola,23.7,bu/ac
2011,153,Canola,18.1,bu/ac
2012,153,Canola,15.9,bu/ac
2013,153,Canola,33.1,bu/ac
2014,153,Canola,25.69,bu/ac
2015,153,Canola,34.06,bu/ac
2016,153,Canola,40.9,bu/ac
2017,153,Canola,31.03,bu/ac
2018,153,Canola,34.8,bu/ac
2019,153,Canola,44,bu/ac
2020,153,Canola,43.1,bu/ac
2021,153,Canola,27.4,bu/ac
2022,153,Canola,41.3,bu/ac
2023,153,Canola,37.4,bu/ac
2024,153,Canola,40.9,bu/ac
2025,153,Canola,48.6,bu/ac
1990,154,Canola,26.8,bu/ac
1991,154,Canola,24.6,bu/ac
1992,154,Canola,20.7,bu/ac
1993,154,Canola,22.3,bu/ac
1994,154,Canola,20.6,bu/ac
1995,154,Canola,12.6,bu/ac
1996,154,Canola,26.7,bu/ac
1997,154,Canola,19.3,bu/ac
1998,154,Canola,19.3,bu/ac
1999,154,Canola,22.4,bu/ac
2000,154,Canola,20.9,bu/ac
2001,154,Canola,23.2,bu/ac
2002,154,Canola,19.7,bu/ac
2003,154,Canola,18.8,bu/ac
2004,154,Canola,20.6,bu/ac
2005,154,Canola,24.3,bu/ac
2006,154,Canola,29.4,bu/ac
2007,154,Canola,22.2,bu/ac
2008,154,Canola,31.2,bu/ac
2009,154,Canola,32.5,bu/ac
2010,154,Canola,30.3,bu/ac
2011,154,Canola,17.9,bu/ac
2012,154,Canola,22.9,bu/ac
2013,154,Canola,35.9,bu/ac
2014,154,Canola,31.47,bu/ac
2015,154,Canola,36.44,bu/ac
2016,154,Canola,41.5,bu/ac
2017,154,Canola,37.78,bu/ac
2018,154,Canola,37.8,bu/ac
2019,154,Canola,44.1,bu/ac
2020,154,Canola,38.9,bu/ac
2021,154,Canola,24.2,bu/ac
2022,154,Canola,38.6,bu/ac
2023,154,Canola,35,bu/ac
2024,154,Canola,33.7,bu/ac
2025,154,Canola,40.3,bu/ac
1990,155,Canola,23.8,bu/ac
1991,155,Canola,31.4,bu/ac
1992,155,Canola,21.4,bu/ac
1993,155,Canola,24.8,bu/ac
1994,155,Canola,19.2,bu/ac
1995,155,Canola,15,bu/ac
1996,155,Canola,27,bu/ac
1997,155,Canola,18.2,bu/ac
1998,155,Canola,21.4,bu/ac
1999,155,Canola,25.4,bu/ac
2000,155,Canola,27.5,bu/ac
2001,155,Canola,22.3,bu/ac
2002,155,Canola,21.6,bu/ac
2003,155,Canola,17.2,bu/ac
2004,155,Canola,21.8,bu/ac
2005,155,Canola,30.8,bu/ac
2006,155,Canola,29.1,bu/ac
2007,155,Canola,26,bu/ac
2008,155,Canola,33.5,bu/ac
2009,155,Canola,37.8,bu/ac
2010,155,Canola,26.3,bu/ac
2011,155,Canola,18,bu/ac
2012,155,Canola,22.2,bu/ac
2013,155,Canola,35.5,bu/ac
2014,155,Canola,30.84,bu/ac
2015,155,Canola,36.07,bu/ac
2016,155,Canola,43.6,bu/ac
2017,155,Canola,38.91,bu/ac
2018,155,Canola,39.7,bu/ac
2019,155,Canola,49.3,bu/ac
2020,155,Canola,39.6,bu/ac
2021,155,Canola,30.1,bu/ac
2022,155,Canola,44.1,bu/ac
2023,155,Canola,42.8,bu/ac
2024,155,Canola,38.5,bu/ac
2025,155,Canola,46.9,bu/ac
1990,156,Canola,22,bu/ac
1991,156,Canola,27.3,bu/ac
1992,156,Canola,29.1,bu/ac
1993,156,Canola,20.1,bu/ac
1994,156,Canola,21.6,bu/ac
1995,156,Canola,13.7,bu/ac
1996,156,Canola,24,bu/ac
1997,156,Canola,16.6,bu/ac
1998,156,Canola,20.9,bu/ac
1999,156,Canola,25.2,bu/ac
2000,156,Canola,25.5,bu/ac
2001,156,Canola,17.5,bu/ac
2002,156,Canola,24.9,bu/ac
2003,156,Canola,17.3,bu/ac
2004,156,Canola,28.8,bu/ac
2005,156,Canola,36.6,bu/ac
2006,156,Canola,30,bu/ac
2007,156,Canola,31.3,bu/ac
2008,156,Canola,41.4,bu/ac
2009,156,Canola,33.2,bu/ac
2010,156,Canola,29.5,bu/ac
2011,156,Canola,30.6,bu/ac
2012,156,Canola,26.9,bu/ac
2013,156,Canola,42.3,bu/ac
2014,156,Canola,36.5,bu/ac
2015,156,Canola,44.32,bu/ac
2016,156,Canola,47.5,bu/ac
2017,156,Canola,41.83,bu/ac
2018,156,Canola,42,bu/ac
2019,156,Canola,45,bu/ac
2020,156,Canola,42.8,bu/ac
2021,156,Canola,34.4,bu/ac
2022,156,Canola,54.5,bu/ac
2023,156,Canola,45.8,bu/ac
2024,156,Canola,37.3,bu/ac
2025,156,Canola,50.1,bu/ac
1990,157,Canola,23.5,bu/ac
1991,157,Canola,30.5,bu/ac
1992,157,Canola,28,bu/ac
1993,157,Canola,28.7,bu/ac
1994,157,Canola,20.4,bu/ac
1995,157,Canola,15.8,bu/ac
1996,157,Canola,22.9,bu/ac
1997,157,Canola,16.1,bu/ac
1998,157,Canola,23.6,bu/ac
1999,157,Canola,25.5,bu/ac
2000,157,Canola,23.9,bu/ac
2001,157,Canola,17.2,bu/ac
2002,157,Canola,22.6,bu/ac
2003,157,Canola,17,bu/ac
2004,157,Canola,26.7,bu/ac
2005,157,Canola,30.4,bu/ac
2006,157,Canola,24.1,bu/ac
2007,157,Canola,25.4,bu/ac
2008,157,Canola,33.4,bu/ac
2009,157,Canola,41.1,bu/ac
2010,157,Canola,26.5,bu/ac
2011,157,Canola,30.4,bu/ac
2012,157,Canola,24.7,bu/ac
2013,157,Canola,39.8,bu/ac
2014,157,Canola,30,bu/ac
2015,157,Canola,40.16,bu/ac
2016,157,Canola,41.2,bu/ac
2017,157,Canola,30.26,bu/ac
2018,157,Canola,37.1,bu/ac
2019,157,Canola,41.7,bu/ac
2020,157,Canola,39.2,bu/ac
2021,157,Canola,27.5,bu/ac
2022,157,Canola,43.4,bu/ac
2023,157,Canola,47.8,bu/ac
2024,157,Canola,34.5,bu/ac
2025,157,Canola,45.2,bu/ac
1990,158,Canola,19.8,bu/ac
1991,158,Canola,31.5,bu/ac
1992,158,Canola,30,bu/ac
1993,158,Canola,24.5,bu/ac
1994,158,Canola,23.4,bu/ac
1995,158,Canola,19.4,bu/ac
1996,158,Canola,23,bu/ac
1997,158,Canola,18.3,bu/ac
1998,158,Canola,21.6,bu/ac
1999,158,Canola,25.2,bu/ac
2000,158,Canola,26.7,bu/ac
2001,158,Canola,22,bu/ac
2002,158,Canola,19,bu/ac
2003,158,Canola,13.1,bu/ac
2004,158,Canola,24.5,bu/ac
2005,158,Canola,29.8,bu/ac
2006,158,Canola,26.4,bu/ac
2007,158,Canola,22.3,bu/ac
2008,158,Canola,25.6,bu/ac
2009,158,Canola,41.9,bu/ac
2010,158,Canola,33.5,bu/ac
2011,158,Canola,26.2,bu/ac
2012,158,Canola,26.2,bu/ac
2013,158,Canola,40.7,bu/ac
2014,158,Canola,28.48,bu/ac
2015,158,Canola,38.63,bu/ac
2016,158,Canola,46,bu/ac
2017,158,Canola,30.45,bu/ac
2018,158,Canola,37.2,bu/ac
2019,158,Canola,47.4,bu/ac
2020,158,Canola,37.5,bu/ac
2021,158,Canola,19.7,bu/ac
2022,158,Canola,42.8,bu/ac
2023,158,Canola,44.9,bu/ac
2024,158,Canola,30.8,bu/ac
2025,158,Canola,44.8,bu/ac
1992,159,Canola,30,bu/ac
1993,159,Canola,20,bu/ac
1994,159,Canola,26.2,bu/ac
1995,159,Canola,19.9,bu/ac
1996,159,Canola,24.9,bu/ac
1997,159,Canola,18.9,bu/ac
1998,159,Canola,14.6,bu/ac
1999,159,Canola,30.3,bu/ac
2000,159,Canola,24.6,bu/ac
2001,159,Canola,20.5,bu/ac
2002,159,Canola,11.1,bu/ac
2003,159,Canola,17.6,bu/ac
2004,159,Canola,37,bu/ac
2005,159,Canola,38.8,bu/ac
2006,159,Canola,28.4,bu/ac
2007,159,Canola,26.3,bu/ac
2008,159,Canola,39.4,bu/ac
2009,159,Canola,37.9,bu/ac
2010,159,Canola,36,bu/ac
2011,159,Canola,27.7,bu/ac
2012,159,Canola,33,bu/ac
2013,159,Canola,42.5,bu/ac
2014,159,Canola,32.07,bu/ac
2015,159,Canola,41.81,bu/ac
2016,159,Canola,48.2,bu/ac
2017,159,Canola,27.52,bu/ac
2018,159,Canola,38.8,bu/ac
2019,159,Canola,49.2,bu/ac
2020,159,Canola,46.4,bu/ac
2021,159,Canola,17.8,bu/ac
2022,159,Canola,48.1,bu/ac
2023,159,Canola,47.4,bu/ac
2024,159,Canola,42.9,bu/ac
2025,159,Canola,52.4,bu/ac
1992,160,Canola,18,bu/ac
1993,160,Canola,25,bu/ac
1994,160,Canola,22.9,bu/ac
1995,160,Canola,23.1,bu/ac
1996,160,Canola,24.5,bu/ac
1997,160,Canola,22.1,bu/ac
1998,160,Canola,18.8,bu/ac
1999,160,Canola,22.3,bu/ac
2000,160,Canola,24.1,bu/ac
2001,160,Canola,20,bu/ac
2002,160,Canola,14.5,bu/ac
2003,160,Canola,12.2,bu/ac
2004,160,Canola,24.2,bu/ac
2005,160,Canola,23.6,bu/ac
2006,160,Canola,28.8,bu/ac
2007,160,Canola,25.6,bu/ac
2008,160,Canola,33.8,bu/ac
2009,160,Canola,35.3,bu/ac
2010,160,Canola,42.3,bu/ac
2011,160,Canola,39.5,bu/ac
2012,160,Canola,37,bu/ac
2013,160,Canola,45.6,bu/ac
2014,160,Canola,41.66,bu/ac
2015,160,Canola,32.18,bu/ac
2016,160,Canola,46.4,bu/ac
2017,160,Canola,34.64,bu/ac
2018,160,Canola,37.3,bu/ac
2019,160,Canola,41.4,bu/ac
2020,160,Canola,50,bu/ac
2021,160,Canola,21.8,bu/ac
2022,160,Canola,41.5,bu/ac
2023,160,Canola,42.4,bu/ac
2024,160,Canola,43.5,bu/ac
2025,160,Canola,48.3,bu/ac
1993,161,Canola,25,bu/ac
1994,161,Canola,15.6,bu/ac
1995,161,Canola,19.9,bu/ac
1996,161,Canola,25.4,bu/ac
1997,161,Canola,22.5,bu/ac
1998,161,Canola,19.1,bu/ac
1999,161,Canola,28.7,bu/ac
2000,161,Canola,27.9,bu/ac
2001,161,Canola,14.3,bu/ac
2003,161,Canola,5.8,bu/ac
2006,161,Canola,28,bu/ac
2007,161,Canola,19.4,bu/ac
2008,161,Canola,30.5,bu/ac
2009,161,Canola,34.9,bu/ac
2010,161,Canola,38.2,bu/ac
2011,161,Canola,34.6,bu/ac
2012,161,Canola,31.9,bu/ac
2013,161,Canola,47.2,bu/ac
2014,161,Canola,42.36,bu/ac
2015,161,Canola,31.69,bu/ac
2016,161,Canola,46.6,bu/ac
2017,161,Canola,33.76,bu/ac
2018,161,Canola,37.4,bu/ac
2019,161,Canola,45.7,bu/ac
2020,161,Canola,40.1,bu/ac
2021,161,Canola,25.3,bu/ac
2022,161,Canola,44.9,bu/ac
2023,161,Canola,36.3,bu/ac
2024,161,Canola,44.4,bu/ac
2025,161,Canola,52,bu/ac
1993,162,Canola,30,bu/ac
1994,162,Canola,10.6,bu/ac
1995,162,Canola,23,bu/ac
1996,162,Canola,25.7,bu/ac
1997,162,Canola,13.4,bu/ac
1998,162,Canola,21,bu/ac
1999,162,Canola,23.2,bu/ac
2000,162,Canola,20.4,bu/ac
2001,162,Canola,11.4,bu/ac
2007,162,Canola,30.4,bu/ac
2010,162,Canola,35.9,bu/ac
2011,162,Canola,33.9,bu/ac
2012,162,Canola,24.5,bu/ac
2013,162,Canola,48.7,bu/ac
2014,162,Canola,47.83,bu/ac
2015,162,Canola,23.39,bu/ac
2016,162,Canola,50.7,bu/ac
2017,162,Canola,34.19,bu/ac
2018,162,Canola,49,bu/ac
2019,162,Canola,53,bu/ac
2020,162,Canola,42.8,bu/ac
2021,162,Canola,22.5,bu/ac
2022,162,Canola,38.6,bu/ac
2023,162,Canola,36.8,bu/ac
2024,162,Canola,43.8,bu/ac
2025,162,Canola,48.1,bu/ac
1994,163,Canola,24,bu/ac
1995,163,Canola,30.3,bu/ac
1996,163,Canola,24.5,bu/ac
1997,163,Canola,17.4,bu/ac
1998,163,Canola,19.8,bu/ac
1999,163,Canola,22.3,bu/ac
2001,163,Canola,15.4,bu/ac
2002,163,Canola,5.7,bu/ac
2003,163,Canola,13.5,bu/ac
2004,163,Canola,19.5,bu/ac
2005,163,Canola,23,bu/ac
2010,163,Canola,23.7,bu/ac
2011,163,Canola,27.6,bu/ac
2012,163,Canola,17.5,bu/ac
2013,163,Canola,37,bu/ac
2014,163,Canola,36.56,bu/ac
2015,163,Canola,23.15,bu/ac
2016,163,Canola,47.8,bu/ac
2017,163,Canola,27.04,bu/ac
2018,163,Canola,44,bu/ac
2019,163,Canola,27.6,bu/ac
2020,163,Canola,35.9,bu/ac
2021,163,Canola,15.7,bu/ac
2022,163,Canola,24.3,bu/ac
2023,163,Canola,24.3,bu/ac
2024,163,Canola,20.5,bu/ac
2025,163,Canola,35.2,bu/ac
1993,164,Canola,20,bu/ac
1994,164,Canola,10,bu/ac
1995,164,Canola,26,bu/ac
1996,164,Canola,14.4,bu/ac
1997,164,Canola,5.1,bu/ac
2003,164,Canola,18,bu/ac
2004,164,Canola,30,bu/ac
2005,164,Canola,16.2,bu/ac
2007,164,Canola,21.6,bu/ac
2010,164,Canola,22.7,bu/ac
2011,164,Canola,21.1,bu/ac
2012,164,Canola,24.5,bu/ac
2013,164,Canola,22.8,bu/ac
2014,164,Canola,35.12,bu/ac
2015,164,Canola,29.51,bu/ac
2016,164,Canola,38.4,bu/ac
2017,164,Canola,24.44,bu/ac
2018,164,Canola,30,bu/ac
2019,164,Canola,32.8,bu/ac
2020,164,Canola,30.9,bu/ac
2021,164,Canola,11.8,bu/ac
2022,164,Canola,22.6,bu/ac
2023,164,Canola,20.2,bu/ac
2024,164,Canola,19.9,bu/ac
2025,164,Canola,49,bu/ac
1993,165,Canola,14.8,bu/ac
1994,165,Canola,14,bu/ac
1995,165,Canola,16.2,bu/ac
1996,165,Canola,18.3,bu/ac
1997,165,Canola,13.1,bu/ac
1998,165,Canola,17.5,bu/ac
1999,165,Canola,19.7,bu/ac
2000,165,Canola,20,bu/ac
2001,165,Canola,13.1,bu/ac
2002,165,Canola,8.2,bu/ac
2003,165,Canola,11.7,bu/ac
2004,165,Canola,26.2,bu/ac
2005,165,Canola,25.4,bu/ac
2006,165,Canola,22.8,bu/ac
2007,165,Canola,14.4,bu/ac
2008,165,Canola,19.6,bu/ac
2010,165,Canola,28.3,bu/ac
2011,165,Canola,33.2,bu/ac
2012,165,Canola,26.8,bu/ac
2013,165,Canola,37.4,bu/ac
2014,165,Canola,32.48,bu/ac
2015,165,Canola,34.72,bu/ac
2016,165,Canola,41,bu/ac
2017,165,Canola,27.58,bu/ac
2018,165,Canola,31.9,bu/ac
2019,165,Canola,32.5,bu/ac
2020,165,Canola,36.3,bu/ac
2021,165,Canola,10.6,bu/ac
2022,165,Canola,18.8,bu/ac
2023,165,Canola,19.8,bu/ac
2024,165,Canola,15.7,bu/ac
2025,165,Canola,37.7,bu/ac
1990,166,Canola,25,bu/ac
1992,166,Canola,20,bu/ac
1994,166,Canola,13.6,bu/ac
1995,166,Canola,13.6,bu/ac
1996,166,Canola,15,bu/ac
1997,166,Canola,18.8,bu/ac
1998,166,Canola,19.7,bu/ac
1999,166,Canola,33.2,bu/ac
2000,166,Canola,29,bu/ac
2001,166,Canola,18,bu/ac
2002,166,Canola,17.5,bu/ac
2003,166,Canola,17,bu/ac
2004,166,Canola,34.5,bu/ac
2005,166,Canola,30.8,bu/ac
2006,166,Canola,27,bu/ac
2007,166,Canola,14.8,bu/ac
2008,166,Canola,25,bu/ac
2009,166,Canola,25,bu/ac
2010,166,Canola,25.4,bu/ac
2011,166,Canola,33.3,bu/ac
2012,166,Canola,28.7,bu/ac
2013,166,Canola,41.7,bu/ac
